ANIO;NOM_MES;NOM_DPTO;COD_TIPO;TOTAL_PAGANTES
2007;Enero;Amazonas;0;487
2007;Enero;Amazonas;1;156
2007;Enero;Amazonas;2;643
2007;Febrero;Amazonas;0;310
2007;Febrero;Amazonas;1;122
2007;Febrero;Amazonas;2;432
2007;Marzo;Amazonas;0;227
2007;Marzo;Amazonas;1;232
2007;Marzo;Amazonas;2;459
2007;Abril;Amazonas;0;393
2007;Abril;Amazonas;1;198
2007;Abril;Amazonas;2;591
2007;Mayo;Amazonas;0;408
2007;Mayo;Amazonas;1;302
2007;Mayo;Amazonas;2;710
2007;Junio;Amazonas;0;643
2007;Junio;Amazonas;1;309
2007;Junio;Amazonas;2;952
2007;Julio;Amazonas;0;1,122
2007;Julio;Amazonas;1;912
2007;Julio;Amazonas;2;2,034
2007;Agosto;Amazonas;0;1,942
2007;Agosto;Amazonas;1;722
2007;Agosto;Amazonas;2;2,664
2007;Setiembre;Amazonas;0;1,012
2007;Setiembre;Amazonas;1;419
2007;Setiembre;Amazonas;2;1,431
2007;Octubre;Amazonas;0;1,110
2007;Octubre;Amazonas;1;338
2007;Octubre;Amazonas;2;1,448
2007;Noviembre;Amazonas;0;1,772
2007;Noviembre;Amazonas;1;397
2007;Noviembre;Amazonas;2;2,169
2007;Diciembre;Amazonas;0;977
2007;Diciembre;Amazonas;1;327
2007;Diciembre;Amazonas;2;1,304
2007;Enero;Ancash;0;1,859
2007;Enero;Ancash;1;493
2007;Enero;Ancash;2;2,352
2007;Febrero;Ancash;0;1,387
2007;Febrero;Ancash;1;321
2007;Febrero;Ancash;2;1,708
2007;Marzo;Ancash;0;957
2007;Marzo;Ancash;1;292
2007;Marzo;Ancash;2;1,249
2007;Abril;Ancash;0;3,289
2007;Abril;Ancash;1;475
2007;Abril;Ancash;2;3,764
2007;Mayo;Ancash;0;1,777
2007;Mayo;Ancash;1;570
2007;Mayo;Ancash;2;2,347
2007;Junio;Ancash;0;2,771
2007;Junio;Ancash;1;776
2007;Junio;Ancash;2;3,547
2007;Julio;Ancash;0;4,268
2007;Julio;Ancash;1;1,401
2007;Julio;Ancash;2;5,669
2007;Agosto;Ancash;0;4,661
2007;Agosto;Ancash;1;1,546
