FECHA_CORTE;ANIO;NOM_MES;TOTAL_PAGANTES;TOTAL_NOPAGANTES;TOTAL
20250123;2007;Enero;487;0;487
20250123;2007;Enero;156;0;156
20250123;2007;Enero;643;0;643
20250123;2007;Febrero;310;0;310
20250123;2007;Febrero;122;0;122
20250123;2007;Febrero;432;0;432
20250123;2007;Marzo;227;0;227
20250123;2007;Marzo;232;0;232
20250123;2007;Marzo;459;0;459
20250123;2007;Abril;393;0;393
20250123;2007;Abril;198;0;198
20250123;2007;Abril;591;0;591
20250123;2007;Mayo;408;0;408
20250123;2007;Mayo;302;0;302
20250123;2007;Mayo;710;0;710
20250123;2007;Junio;643;0;643
20250123;2007;Junio;309;0;309
20250123;2007;Junio;952;0;952
20250123;2007;Julio;1,122;0;1,122
20250123;2007;Julio;912;0;912
20250123;2007;Julio;2,034;0;2,034
20250123;2007;Agosto;1,942;0;1,942
20250123;2007;Agosto;722;0;722
20250123;2007;Agosto;2,664;0;2,664
20250123;2007;Setiembre;1,012;0;1,012
20250123;2007;Setiembre;419;0;419
20250123;2007;Setiembre;1,431;0;1,431
20250123;2007;Octubre;1,110;0;1,110
20250123;2007;Octubre;338;0;338
20250123;2007;Octubre;1,448;0;1,448
20250123;2007;Noviembre;1,772;0;1,772
20250123;2007;Noviembre;397;0;397
20250123;2007;Noviembre;2,169;0;2,169
20250123;2007;Diciembre;977;0;977
20250123;2007;Diciembre;327;0;327
20250123;2007;Diciembre;1,304;0;1,304
20250123;2007;Enero;1,859;52;1,911
20250123;2007;Enero;493;0;493
20250123;2007;Enero;2,352;52;2,404
20250123;2007;Febrero;1,387;73;1,460
20250123;2007;Febrero;321;0;321
20250123;2007;Febrero;1,708;73;1,781
20250123;2007;Marzo;957;54;1,011
20250123;2007;Marzo;292;0;292
20250123;2007;Marzo;1,249;54;1,303
20250123;2007;Abril;3,289;71;3,360
20250123;2007;Abril;475;0;475
20250123;2007;Abril;3,764;71;3,835
20250123;2007;Mayo;1,777;65;1,842
20250123;2007;Mayo;570;0;570
20250123;2007;Mayo;2,347;65;2,412
20250123;2007;Junio;2,771;59;2,830
20250123;2007;Junio;776;0;776
20250123;2007;Junio;3,547;59;3,606
20250123;2007;Julio;4,268;105;4,373
20250123;2007;Julio;1,401;0;1,401
20250123;2007;Julio;5,669;105;5,774
20250123;2007;Agosto;4,661;47;4,708
20250123;2007;Agosto;1,546;0;1,546
20250123;2007;Agosto;6,207;47;6,254
20250123;2007;Setiembre;3,874;116;3,990
20250123;2007;Setiembre;743;0;743
20250123;2007;Setiembre;4,617;116;4,733
20250123;2007;Octubre;13,890;32;13,922
20250123;2007;Octubre;692;0;692
20250123;2007;Octubre;14,582;32;14,614
20250123;2007;Noviembre;13,458;140;13,598
20250123;2007;Noviembre;360;0;360
20250123;2007;Noviembre;13,818;140;13,958
20250123;2007;Diciembre;4,571;155;4,726
20250123;2007;Diciembre;491;0;491
20250123;2007;Diciembre;5,062;155;5,217
20250123;2007;Enero;14;0;14
20250123;2007;Enero;0;0;0
20250123;2007;Enero;14;0;14
20250123;2007;Febrero;164;0;164
20250123;2007;Febrero;6;0;6
20250123;2007;Febrero;170;0;170
20250123;2007;Marzo;22;0;22
20250123;2007;Marzo;1;0;1
20250123;2007;Marzo;23;0;23
20250123;2007;Abril;8;0;8
20250123;2007;Abril;1;0;1
20250123;2007;Abril;9;0;9
20250123;2007;Mayo;33;0;33
20250123;2007;Mayo;2;0;2
20250123;2007;Mayo;35;0;35
20250123;2007;Junio;171;0;171
20250123;2007;Junio;0;0;0
20250123;2007;Junio;171;0;171
20250123;2007;Julio;34;0;34
20250123;2007;Julio;4;0;4
20250123;2007;Julio;38;0;38
20250123;2007;Agosto;63;0;63
20250123;2007;Agosto;2;0;2
20250123;2007;Agosto;65;0;65
20250123;2007;Setiembre;491;0;491
20250123;2007;Setiembre;6;0;6
20250123;2007;Setiembre;497;0;497
20250123;2007;Octubre;2,152;0;2,152
20250123;2007;Octubre;2;0;2
20250123;2007;Octubre;2,154;0;2,154
20250123;2007;Noviembre;175;0;175
20250123;2007;Noviembre;1;0;1
20250123;2007;Noviembre;176;0;176
20250123;2007;Diciembre;21;0;21
20250123;2007;Diciembre;0;0;0
20250123;2007;Diciembre;21;0;21
20250123;2007;Enero;99;121;220
20250123;2007;Enero;32;0;32
20250123;2007;Enero;131;121;252
20250123;2007;Febrero;82;55;137
20250123;2007;Febrero;16;0;16
20250123;2007;Febrero;98;55;153
20250123;2007;Marzo;26;51;77
20250123;2007;Marzo;35;0;35
20250123;2007;Marzo;61;51;112
20250123;2007;Abril;188;135;323
20250123;2007;Abril;38;0;38
20250123;2007;Abril;226;135;361
20250123;2007;Mayo;126;98;224
20250123;2007;Mayo;18;0;18
20250123;2007;Mayo;144;98;242
20250123;2007;Junio;129;41;170
20250123;2007;Junio;46;0;46
20250123;2007;Junio;175;41;216
20250123;2007;Julio;309;37;346
20250123;2007;Julio;309;0;309
20250123;2007;Julio;618;37;655
20250123;2007;Agosto;328;34;362
20250123;2007;Agosto;74;0;74
20250123;2007;Agosto;402;34;436
20250123;2007;Setiembre;153;298;451
20250123;2007;Setiembre;0;0;0
20250123;2007;Setiembre;153;298;451
20250123;2007;Octubre;139;91;230
20250123;2007;Octubre;91;0;91
20250123;2007;Octubre;230;91;321
20250123;2007;Noviembre;23;337;360
20250123;2007;Noviembre;170;0;170
20250123;2007;Noviembre;193;337;530
20250123;2007;Diciembre;59;218;277
20250123;2007;Diciembre;40;0;40
20250123;2007;Diciembre;99;218;317
20250123;2007;Enero;103;0;103
20250123;2007;Enero;74;0;74
20250123;2007;Enero;177;0;177
20250123;2007;Febrero;104;0;104
20250123;2007;Febrero;49;0;49
20250123;2007;Febrero;153;0;153
20250123;2007;Marzo;60;0;60
20250123;2007;Marzo;27;0;27
20250123;2007;Marzo;87;0;87
20250123;2007;Abril;227;0;227
20250123;2007;Abril;81;0;81
20250123;2007;Abril;308;0;308
20250123;2007;Mayo;163;0;163
20250123;2007;Mayo;70;0;70
20250123;2007;Mayo;233;0;233
20250123;2007;Junio;117;0;117
20250123;2007;Junio;48;0;48
20250123;2007;Junio;165;0;165
20250123;2007;Julio;185;0;185
20250123;2007;Julio;83;0;83
20250123;2007;Julio;268;0;268
20250123;2007;Agosto;179;0;179
20250123;2007;Agosto;159;0;159
20250123;2007;Agosto;338;0;338
20250123;2007;Setiembre;282;0;282
20250123;2007;Setiembre;178;0;178
20250123;2007;Setiembre;460;0;460
20250123;2007;Octubre;205;0;205
20250123;2007;Octubre;118;0;118
20250123;2007;Octubre;323;0;323
20250123;2007;Noviembre;207;0;207
20250123;2007;Noviembre;113;0;113
