NOM_TIPO;NOM_DPTO;NOM_MUSEO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;TOTAL_PAGANTES
Nacionales;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;487
Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;156
Nacionales Y Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;643
Nacionales;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;310
Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;122
Nacionales Y Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;432
Nacionales;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;227
Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;232
Nacionales Y Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;459
Nacionales;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;393
Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;198
Nacionales Y Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;591
Nacionales;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;408
Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;302
Nacionales Y Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;710
Nacionales;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;643
Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;309
Nacionales Y Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;952
Nacionales;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;1,122
Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;912
Nacionales Y Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;2,034
Nacionales;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;1,942
Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;722
Nacionales Y Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;2,664
Nacionales;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;1,012
Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;419
Nacionales Y Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;1,431
Nacionales;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;1,110
Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;338
Nacionales Y Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;1,448
Nacionales;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;1,772
Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;397
Nacionales Y Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;2,169
Nacionales;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;977
Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;327
Nacionales Y Extranjeros;Amazonas;Zona Arqueologica Monumental Kuelap;0;0;0;0;0;1,304
Nacionales;Ancash;Zona Arqueologica Monumental Chavin de Huantar;0;0;0;0;0;1,859
