NOM_DPTO;COD_DPTO;NOM_MUSEO;TOTAL_NOPAGANTES;TOTAL_PAGANTES;TOTAL
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;487;487
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;156;156
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;643;643
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;310;310
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;122;122
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;432;432
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;227;227
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;232;232
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;459;459
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;393;393
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;198;198
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;591;591
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;408;408
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;302;302
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;710;710
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;643;643
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;309;309
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;952;952
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;1,122;1,122
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;912;912
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;2,034;2,034
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;1,942;1,942
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;722;722
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;2,664;2,664
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;1,012;1,012
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;419;419
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;1,431;1,431
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;1,110;1,110
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;338;338
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;1,448;1,448
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;1,772;1,772
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;397;397
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;2,169;2,169
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;977;977
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;327;327
Amazonas;1;Zona Arqueologica Monumental Kuelap;0;1,304;1,304
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;52;1,859;1,911
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;0;493;493
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;52;2,352;2,404
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;73;1,387;1,460
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;0;321;321
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;73;1,708;1,781
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;54;957;1,011
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;0;292;292
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;54;1,249;1,303
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;71;3,289;3,360
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;0;475;475
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;71;3,764;3,835
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;65;1,777;1,842
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;0;570;570
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;65;2,347;2,412
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;59;2,771;2,830
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;0;776;776
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;59;3,547;3,606
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;105;4,268;4,373
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;0;1,401;1,401
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;105;5,669;5,774
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;47;4,661;4,708
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;0;1,546;1,546
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;47;6,207;6,254
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;116;3,874;3,990
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;0;743;743
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;116;4,617;4,733
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;32;13,890;13,922
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;0;692;692
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;32;14,582;14,614
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;140;13,458;13,598
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;0;360;360
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;140;13,818;13,958
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;155;4,571;4,726
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;0;491;491
Ancash;2;Zona Arqueologica Monumental Chavin de Huantar;155;5,062;5,217
Ancash;2;Sitio Arqueologico Pañamarca;0;14;14
Ancash;2;Sitio Arqueologico Pañamarca;0;0;0
Ancash;2;Sitio Arqueologico Pañamarca;0;14;14
Ancash;2;Sitio Arqueologico Pañamarca;0;164;164
Ancash;2;Sitio Arqueologico Pañamarca;0;6;6
Ancash;2;Sitio Arqueologico Pañamarca;0;170;170
Ancash;2;Sitio Arqueologico Pañamarca;0;22;22
Ancash;2;Sitio Arqueologico Pañamarca;0;1;1
Ancash;2;Sitio Arqueologico Pañamarca;0;23;23
Ancash;2;Sitio Arqueologico Pañamarca;0;8;8
Ancash;2;Sitio Arqueologico Pañamarca;0;1;1
Ancash;2;Sitio Arqueologico Pañamarca;0;9;9
Ancash;2;Sitio Arqueologico Pañamarca;0;33;33
Ancash;2;Sitio Arqueologico Pañamarca;0;2;2
Ancash;2;Sitio Arqueologico Pañamarca;0;35;35
Ancash;2;Sitio Arqueologico Pañamarca;0;171;171
Ancash;2;Sitio Arqueologico Pañamarca;0;0;0
Ancash;2;Sitio Arqueologico Pañamarca;0;171;171
Ancash;2;Sitio Arqueologico Pañamarca;0;34;34
Ancash;2;Sitio Arqueologico Pañamarca;0;4;4
Ancash;2;Sitio Arqueologico Pañamarca;0;38;38
Ancash;2;Sitio Arqueologico Pañamarca;0;63;63
Ancash;2;Sitio Arqueologico Pañamarca;0;2;2
Ancash;2;Sitio Arqueologico Pañamarca;0;65;65
Ancash;2;Sitio Arqueologico Pañamarca;0;491;491
Ancash;2;Sitio Arqueologico Pañamarca;0;6;6
Ancash;2;Sitio Arqueologico Pañamarca;0;497;497
Ancash;2;Sitio Arqueologico Pañamarca;0;2,152;2,152
Ancash;2;Sitio Arqueologico Pañamarca;0;2;2
Ancash;2;Sitio Arqueologico Pañamarca;0;2,154;2,154
Ancash;2;Sitio Arqueologico Pañamarca;0;175;175
Ancash;2;Sitio Arqueologico Pañamarca;0;1;1
Ancash;2;Sitio Arqueologico Pañamarca;0;176;176
Ancash;2;Sitio Arqueologico Pañamarca;0;21;21
Ancash;2;Sitio Arqueologico Pañamarca;0;0;0
Ancash;2;Sitio Arqueologico Pañamarca;0;21;21
Apurimac;3;Sitio Arqueologico Saihuite;121;99;220
Apurimac;3;Sitio Arqueologico Saihuite;0;32;32
Apurimac;3;Sitio Arqueologico Saihuite;121;131;252
Apurimac;3;Sitio Arqueologico Saihuite;55;82;137
Apurimac;3;Sitio Arqueologico Saihuite;0;16;16
Apurimac;3;Sitio Arqueologico Saihuite;55;98;153
Apurimac;3;Sitio Arqueologico Saihuite;51;26;77
