NOM_DPTO;NOM_MUSEO;NOM_TIPO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;ADU_BOLESPNOPAGANTES;EST_BOLESPNOPAGANTES;NIN_BOLESPNOPAGANTES;MIL_BOLESPNOPAGANTES;ADM_BOLESPNOPAGANTES
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Extranjeros;0;0;0;0;0;0;0;0;0;0
Amazonas;Zona Arqueologica Monumental Kuelap;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0
Ancash;Zona Arqueologica Monumental Chavin de Huantar;Nacionales;0;0;0;0;0;0;0;0;0;0
Ancash;Zona Arqueologica Monumental Chavin de Huantar;Extranjeros;0;0;0;0;0;0;0;0;0;0
Ancash;Zona Arqueologica Monumental Chavin de Huantar;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0
Ancash;Zona Arqueologica Monumental Chavin de Huantar;Nacionales;0;0;0;0;0;0;0;0;0;0
