FECHA_CORTE;ANIO;COD_DPTO;NOM_DPTO;NOM_MUSEO;COD_MES;NOM_MES;COD_TIPO;NOM_TIPO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;ADU_PAGANTES;EST_PAGANTES;NIN_PAGANTES;TOTAL_PAGANTES;ADU_BOLESPNOPAGANTES;EST_BOLESPNOPAGANTES;NIN_BOLESPNOPAGANTES;MIL_BOLESPNOPAGANTES;ADM_BOLESPNOPAGANTES;ADU_NOPAGANTES;EST_NOPAGANTES;NIN_NOPAGANTES;TOTAL_NOPAGANTES;TOTAL;TIPO_cat_cod
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;01;Enero;0;Nacionales;0;0;0;0;0;224;162;101;487;0;0;0;0;0;0;0;0;0;487;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;01;Enero;1;Extranjeros;0;0;0;0;0;132;20;4;156;0;0;0;0;0;0;0;0;0;156;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;01;Enero;2;Nacionales Y Extranjeros;0;0;0;0;0;356;182;105;643;0;0;0;0;0;0;0;0;0;643;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;02;Febrero;0;Nacionales;0;0;0;0;0;155;101;54;310;0;0;0;0;0;0;0;0;0;310;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;02;Febrero;1;Extranjeros;0;0;0;0;0;78;44;0;122;0;0;0;0;0;0;0;0;0;122;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;02;Febrero;2;Nacionales Y Extranjeros;0;0;0;0;0;233;145;54;432;0;0;0;0;0;0;0;0;0;432;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;03;Marzo;0;Nacionales;0;0;0;0;0;123;76;28;227;0;0;0;0;0;0;0;0;0;227;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;03;Marzo;1;Extranjeros;0;0;0;0;0;161;71;0;232;0;0;0;0;0;0;0;0;0;232;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;03;Marzo;2;Nacionales Y Extranjeros;0;0;0;0;0;284;147;28;459;0;0;0;0;0;0;0;0;0;459;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;04;Abril;0;Nacionales;0;0;0;0;0;232;116;45;393;0;0;0;0;0;0;0;0;0;393;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;04;Abril;1;Extranjeros;0;0;0;0;0;152;43;3;198;0;0;0;0;0;0;0;0;0;198;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;04;Abril;2;Nacionales Y Extranjeros;0;0;0;0;0;384;159;48;591;0;0;0;0;0;0;0;0;0;591;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;05;Mayo;0;Nacionales;0;0;0;0;0;216;159;33;408;0;0;0;0;0;0;0;0;0;408;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;05;Mayo;1;Extranjeros;0;0;0;0;0;231;68;3;302;0;0;0;0;0;0;0;0;0;302;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;05;Mayo;2;Nacionales Y Extranjeros;0;0;0;0;0;447;227;36;710;0;0;0;0;0;0;0;0;0;710;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;06;Junio;0;Nacionales;0;0;0;0;0;355;220;68;643;0;0;0;0;0;0;0;0;0;643;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;06;Junio;1;Extranjeros;0;0;0;0;0;255;46;8;309;0;0;0;0;0;0;0;0;0;309;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;06;Junio;2;Nacionales Y Extranjeros;0;0;0;0;0;610;266;76;952;0;0;0;0;0;0;0;0;0;952;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;07;Julio;0;Nacionales;0;0;0;0;0;605;302;215;1,122;0;0;0;0;0;0;0;0;0;1,122;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;07;Julio;1;Extranjeros;0;0;0;0;0;552;227;133;912;0;0;0;0;0;0;0;0;0;912;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;07;Julio;2;Nacionales Y Extranjeros;0;0;0;0;0;1,157;529;348;2,034;0;0;0;0;0;0;0;0;0;2,034;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;08;Agosto;0;Nacionales;0;0;0;0;0;981;546;415;1,942;0;0;0;0;0;0;0;0;0;1,942;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;08;Agosto;1;Extranjeros;0;0;0;0;0;531;166;25;722;0;0;0;0;0;0;0;0;0;722;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;08;Agosto;2;Nacionales Y Extranjeros;0;0;0;0;0;1,512;712;440;2,664;0;0;0;0;0;0;0;0;0;2,664;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;09;Setiembre;0;Nacionales;0;0;0;0;0;331;269;412;1,012;0;0;0;0;0;0;0;0;0;1,012;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;09;Setiembre;1;Extranjeros;0;0;0;0;0;364;52;3;419;0;0;0;0;0;0;0;0;0;419;Sitio Arqueológico
20250123;2007;01;Amazonas;Zona Arqueologica Monumental Kuelap;09;Setiembre;2;Nacionales Y Extranjeros;0;0;0;0;0;695;321;415;1,431;0;0;0;0;0;0;0;0;0;1,431;Sitio Arqueológico
