datetime,lat,lon,mag,depth,referencia,year,month,day,hour,mag_class,depth_class,energy
2020-01-15T09:45:14,-10.3952,-78.8467,5.4,26.0,"84 km al Oeste-SO de Huarmey, Huarmey - Ancash",2020,1,15,9,fuerte,superficial,7.9432823472428545e12
2020-02-09T08:27:55,-9.8339,-78.793,4.2,35.0,"67 km al Sur-Oeste de Casma, Casma - Ancash",2020,2,9,8,moderado,superficial,1.2589254117941713e11
2020-02-10T20:24:06,-8.3823,-77.8063,3.6,18.0,"23 km al Norte-NE de Corongo, Corongo - Ancash",2020,2,10,20,leve,superficial,1.5848931924611109e10
2020-02-21T06:44:44,-9.1304,-79.4177,4.8,16.0,"92 km al Oeste de Chimbote, Santa - Ancash",2020,2,21,6,moderado,superficial,1.0e12
2020-02-21T18:35:13,-9.1507,-79.4393,4.0,15.0,"95 km al Oeste de Chimbote, SANTA - ANCASH",2020,2,21,18,moderado,superficial,6.3095734448019424e10
2020-02-25T09:45:52,-9.4696,-79.1449,4.3,35.0,"76 km al SO de Chimbote, Santa - Ancash",2020,2,25,9,moderado,superficial,1.7782794100389227e11
2020-02-26T01:05:34,-10.3957,-78.5372,4.0,41.0,"56 km al SO de Huarmey, Huarmey - Ancash",2020,2,26,1,moderado,superficial,6.3095734448019424e10
2020-03-28T04:02:04,-9.3624,-79.1503,4.0,40.0,"70 km al Oeste-SO de Chimbote, Santa - Ancash",2020,3,28,4,moderado,superficial,6.3095734448019424e10
2020-04-09T11:09:35,-9.4923,-77.0083,4.2,15.0,"21 km al Este-NE de Chavin de Huantar, Huari - Ancash",2020,4,9,11,moderado,superficial,1.2589254117941713e11
2020-04-11T22:36:43,-9.8423,-78.8046,4.3,50.0,"73 km Sur-SO de Samanco, Santa - Ancash",2020,4,11,22,moderado,superficial,1.7782794100389227e11
2020-04-15T21:10:55,-9.1116,-80.0805,4.7,31.0,"165 km al Oeste de Chimbote, Santa - Ancash",2020,4,15,21,moderado,superficial,7.079457843841403e11
2020-04-30T05:41:30,-9.3584,-79.1808,3.9,35.0,"73 km al Oeste SO de Chimbote, Santa - Ancash",2020,4,30,5,leve,superficial,4.466835921509617e10
2020-05-04T13:21:51,-10.4367,-78.6752,4.3,38.0,"70 km al Sur-Oeste de Huarmey, Huarmey - Ancash",2020,5,4,13,moderado,superficial,1.7782794100389227e11
2020-05-08T11:47:51,-9.3905,-79.2041,4.0,37.0,"77 km al Oeste-SO de Chimbote, Santa - Ancash",2020,5,8,11,moderado,superficial,6.3095734448019424e10
2020-05-13T11:03:53,-10.4737,-78.6285,4.2,45.0,"69 km al SO de Huarmey, Huarmey - Ancash",2020,5,13,11,moderado,superficial,1.2589254117941713e11
2020-05-14T22:33:16,-9.2529,-79.1749,4.0,37.0,"68 km al Oeste SO de Chimbote, Santa - Ancash",2020,5,14,22,moderado,superficial,6.3095734448019424e10
2020-05-18T03:34:19,-9.6151,-77.5637,3.8,25.0,"10 km al Sur SO de Huaraz, Huaraz - Ancash",2020,5,18,3,leve,superficial,3.1622776601683792e10
2020-05-30T00:40:05,-9.9105,-78.9872,3.8,29.0,"89 km al Oeste-SO de Casma, Casma - Ancash",2020,5,30,0,leve,superficial,3.1622776601683792e10
2020-06-06T04:30:16,-8.5422,-77.4826,3.5,18.0,"16 km al Este de Siguas, Siguas - Ancash",2020,6,6,4,leve,superficial,1.1220184543019653e10
2020-06-06T14:17:22,-9.4618,-79.2476,4.6,34.0,"5 Oeste-SO de Chimbote, Santa - Ancash",2020,6,6,14,moderado,superficial,5.011872336272715e11
2020-06-07T05:27:21,-9.5688,-78.893,4.8,71.0,"55 km al Sur-Oeste de Samanco, Santa - Ancash",2020,6,7,5,moderado,intermedia,1.0e12
2020-06-15T03:04:11,-9.303,-79.5145,4.5,38.0,"106 km al Oeste SO de Chimbote, Santa - Ancash",2020,6,15,3,moderado,superficial,3.5481338923357605e11
2020-07-05T15:40:24,-9.647,-77.5313,3.4,13.0,"11 km al Nor-Oeste de Recuay, Recuay - Ancash",2020,7,5,15,leve,superficial,7.943282347242789e9
2020-07-30T07:21:46,-8.9221,-77.2924,3.4,16.0,"10 km al SE de Piscobamba, Mariscal Luzuriaga - -Ancash",2020,7,30,7,leve,superficial,7.943282347242789e9
2020-08-07T05:14:25,-9.468,-77.5926,3.7,16.0,"10 km al Nor-Oeste de Huaraz, Huaraz - Ancash",2020,8,7,5,leve,superficial,2.2387211385683468e10
2020-08-12T22:37:03,-10.8885,-79.8433,4.0,26.0,"206 km al Oeste-SO de Huarmey, Huarmey - Ancash",2020,8,12,22,moderado,superficial,6.3095734448019424e10
2020-09-08T07:59:47,-8.9603,-79.472,4.1,31.0,"98 km al Oeste de Chimbote, Santa -Ancash",2020,9,8,7,moderado,superficial,8.91250938133744e10
2020-09-18T01:06:37,-8.9998,-79.2955,4.5,51.0,"79 km al Oeste de Chimbote, Santa - Ancash",2020,9,18,1,moderado,superficial,3.5481338923357605e11
2020-09-20T03:07:54,-9.1859,-79.1711,4.0,41.0,"66 km al Oeste- SO de Chimbote, Santa - Ancash",2020,9,20,3,moderado,superficial,6.3095734448019424e10
2020-09-27T16:43:50,-9.7582,-79.0223,4.1,44.0,"80 km al Sur-Oeste de Samanco, Santa - Ancash",2020,9,27,16,moderado,superficial,8.91250938133744e10
2020-10-01T01:44:28,-9.2819,-79.1323,4.0,38.0,"65 km al Oeste SO de Chimbote, Santa - Ancash",2020,10,1,1,moderado,superficial,6.3095734448019424e10
2020-10-12T14:37:42,-8.5348,-77.8257,3.7,11.0,"9 km al Este-NE de Corongo, Corongo - Ancash",2020,10,12,14,leve,superficial,2.2387211385683468e10
2020-10-22T17:03:36,-8.6313,-77.8837,4.1,132.0,"7 km al Sur-SE de Corongo, Corongo - Ancash",2020,10,22,17,moderado,intermedia,8.91250938133744e10
