profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
26,,0,IV Huarmey,,2024-09-02T14:43:07.000Z,-10.3952,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20200023_20200115_094514.pdf,-78.8467,1970-01-01T09:45:14.000Z,1970-01-01T04:45:14.000Z,mapa.pdf,5736,1,"84 km al Oeste-SO de Huarmey, Huarmey - Ancash",2021-09-01T10:52:12.000Z,,,2020-0023,23,5.4,2020-01-15T00:00:00.000Z,2020-01-15T00:00:00.000Z
35,,0,II Casma,,2024-09-02T14:43:07.000Z,-9.8339,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20200091_20200209_082755.pdf,-78.793,1970-01-01T08:27:55.000Z,1970-01-01T03:27:55.000Z,mapa.pdf,5806,1,"67 km al Sur-Oeste de Casma, Casma - Ancash",2021-09-01T10:52:12.000Z,,,2020-0091,91,4.2,2020-02-09T00:00:00.000Z,2020-02-09T00:00:00.000Z
18,,0,II Corongo,,2024-09-02T14:43:07.000Z,-8.3823,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20200094_20200210_202406.pdf,-77.8063,1970-01-01T20:24:06.000Z,1970-01-01T15:24:06.000Z,mapa.pdf,5809,1,"23 km al Norte-NE de Corongo, Corongo - Ancash",2021-09-01T10:52:12.000Z,,,2020-0094,94,3.6,2020-02-10T00:00:00.000Z,2020-02-10T00:00:00.000Z
16,,0,"III - IV	en    Chimbote, Samanco",,2024-09-02T14:43:07.000Z,-9.1304,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20200126_20200221_064444.pdf,-79.4177,1970-01-01T06:44:44.000Z,1970-01-01T01:44:44.000Z,mapa.pdf,5841,1,"92 km al Oeste de Chimbote, Santa - Ancash",2021-09-01T10:52:12.000Z,,,2020-0126,126,4.8,2020-02-21T00:00:00.000Z,2020-02-21T00:00:00.000Z
15,,0,II Chimbote,,2024-09-02T14:43:07.000Z,-9.1507,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20200127_20200221_183513.pdf,-79.4393,1970-01-01T18:35:13.000Z,1970-01-01T13:35:13.000Z,mapa.pdf,5842,1,"95 km al Oeste de Chimbote, SANTA - ANCASH",2021-09-01T10:52:12.000Z,,,2020-0127,127,4.0,2020-02-21T00:00:00.000Z,2020-02-21T00:00:00.000Z
35,,0,II Chimbote,,2024-09-02T14:43:07.000Z,-9.4696,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20200133_20200225_094552.pdf,-79.1449,1970-01-01T09:45:52.000Z,1970-01-01T04:45:52.000Z,mapa.pdf,5848,1,"76 km al SO de Chimbote, Santa - Ancash",2021-09-01T10:52:12.000Z,,,2020-0133,133,4.3,2020-02-25T00:00:00.000Z,2020-02-25T00:00:00.000Z
41,,0,,,2024-09-02T14:43:07.000Z,-10.3957,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20200134_20200226_010534.pdf,-78.5372,1970-01-01T01:05:34.000Z,1970-01-01T20:05:34.000Z,mapa.pdf,5849,1,"56 km al SO de Huarmey, Huarmey - Ancash",2021-09-01T11:05:57.000Z,,,2020-0134,134,4.0,2020-02-26T00:00:00.000Z,2020-02-25T00:00:00.000Z
40,,0,,,2024-09-02T14:43:07.000Z,-9.3624,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20200202_20200328_040204.pdf,-79.1503,1970-01-01T04:02:04.000Z,1970-01-01T23:02:04.000Z,mapa.pdf,5929,1,"70 km al Oeste-SO de Chimbote, Santa - Ancash",2021-09-01T11:05:57.000Z,,,2020-0202,202,4.0,2020-03-28T00:00:00.000Z,2020-03-27T00:00:00.000Z
15,,0,III Chavin de Huantar,,2021-09-01T10:52:12.000Z,-9.4923,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20200230_20200409_110935.pdf,-77.0083,1970-01-01T11:09:35.000Z,1970-01-01T06:09:35.000Z,mapa.pdf,5960,1,"21 km al Este-NE de Chavin de Huantar, Huari - Ancash",2020-04-09T10:00:01.000Z,,,2020-0230,230,4.2,2020-04-09T00:00:00.000Z,2020-04-09T00:00:00.000Z
50,,0,"II Samanco, Ancash",,2021-09-01T10:52:12.000Z,-9.8423,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20200237_20200411_223643.pdf,-78.8046,1970-01-01T22:36:43.000Z,1970-01-01T17:36:43.000Z,mapa.pdf,5971,1,"73 km Sur-SO de Samanco, Santa - Ancash",2020-04-12T02:49:03.000Z,,,2020-0237,237,4.3,2020-04-11T00:00:00.000Z,2020-04-11T00:00:00.000Z
31,,0,,,2021-09-01T10:52:12.000Z,-9.1116,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20200250_20200415_211055.pdf,-80.0805,1970-01-01T21:10:55.000Z,1970-01-01T16:10:55.000Z,mapa.pdf,5985,1,"165 km al Oeste de Chimbote, Santa - Ancash",2020-04-16T08:33:54.000Z,,,2020-0250,250,4.7,2020-04-15T00:00:00.000Z,2020-04-15T00:00:00.000Z
35,,0,II Chimbote,,2021-09-01T10:52:12.000Z,-9.3584,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20200297_20200430_054130.pdf,-79.1808,1970-01-01T05:41:30.000Z,1970-01-01T00:41:30.000Z,mapa.pdf,6031,1,"73 km al Oeste SO de Chimbote, Santa - Ancash",2020-04-30T09:36:04.000Z,,,2020-0297,297,3.9,2020-04-30T00:00:00.000Z,2020-04-30T00:00:00.000Z
