profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
27,,0,III  Chimbote,,2022-01-15T10:57:42.000Z,-9.6246,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20220003_20220103_012033.pdf,-79.5228,1970-01-01T01:20:33.000Z,1970-01-01T20:20:33.000Z,,7585,1,"120 km al Oeste-SO de Chimbote, Santa - Ancash",2022-01-02T20:25:33.000Z,,,2022-0003,3,4.1,2022-01-03T00:00:00.000Z,2022-01-02T00:00:00.000Z
17,,0,III  Huallanca,,2022-01-15T10:57:42.000Z,-8.6863,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20220006_20220104_013806.pdf,-77.8341,1970-01-01T01:38:06.000Z,1970-01-01T20:38:06.000Z,,7588,1,"15 km al Norte-NE de Huallanca, Huaylas - Ancash",2022-01-03T20:43:32.000Z,,,2022-0006,6,3.6,2022-01-04T00:00:00.000Z,2022-01-03T00:00:00.000Z
22,,0,III  Huallanca,,2022-01-15T10:57:42.000Z,-8.9708,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20220023_20220110_103450.pdf,-78.1262,1970-01-01T10:34:50.000Z,1970-01-01T05:34:50.000Z,,7605,1,"34 km al Oeste-SO de Huallanca, Huaylas - Ancash",2022-01-10T05:40:27.000Z,,,2022-0023,23,3.7,2022-01-10T00:00:00.000Z,2022-01-10T00:00:00.000Z
63,,0,III  Chimbote,,2022-01-15T10:57:42.000Z,-8.9584,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20220025_20220111_042713.pdf,-78.7968,1970-01-01T04:27:13.000Z,1970-01-01T23:27:13.000Z,,7607,1,"26 km al Oeste-NO de Chimbote, Santa - Ancash",2022-01-10T23:34:50.000Z,,,2022-0025,25,3.9,2022-01-11T00:00:00.000Z,2022-01-10T00:00:00.000Z
32,,0,III  Casma,,2022-01-15T10:57:42.000Z,-9.8137,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20220028_20220113_075350.pdf,-78.8227,1970-01-01T07:53:50.000Z,1970-01-01T02:53:50.000Z,,7610,1,"68 km al Oeste-SO de Casma, Casma - Ancash",2022-01-13T02:57:54.000Z,,,2022-0028,28,3.8,2022-01-13T00:00:00.000Z,2022-01-13T00:00:00.000Z
14,,0,III  Huallanca,,2022-01-19T03:48:24.000Z,-8.6808,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20220038_20220119_080627.pdf,-77.827,,1970-01-01T03:06:27.000Z,,7620,1,"16 km al Norte-NE de Huallanca, Huaylas - Ancash",2022-01-19T03:10:59.000Z,,,2022-0038,38,3.9,,2022-01-19T00:00:00.000Z
72,,0,III  Chimbote,,2022-01-23T06:56:26.000Z,-9.3323,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20220047_20220123_111309.pdf,-78.9565,,1970-01-01T06:13:09.000Z,,7629,1,"51 km al SO de Chimbote, Santa - Ancash",2022-01-23T06:21:27.000Z,,,2022-0047,47,4.2,,2022-01-23T00:00:00.000Z
10,,0,,,2022-01-25T06:08:46.000Z,-10.5943,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20220052_20220125_101907.pdf,-80.538,,1970-01-01T05:19:07.000Z,,7634,1,"268 km al Oeste-SO de Huarmey, Huarmey - Ancash",2022-01-25T05:28:19.000Z,,,2022-0052,52,4.3,,2022-01-25T00:00:00.000Z
48,,0,III  Chimbote,,2022-02-07T07:04:44.000Z,-9.5011,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20220081_20220207_074354.pdf,-79.213,,1970-01-01T02:43:54.000Z,,7664,1,"83 km al Oeste SO de Chimbote, Santa - Ancash",2022-02-07T02:54:45.000Z,,,2022-0081,81,4.2,,2022-02-07T00:00:00.000Z
68,,0,III  Chimbote,,2022-02-24T12:03:43.000Z,-9.22,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20220107_20220224_164441.pdf,-78.8746,,1970-01-01T11:44:41.000Z,,7693,1,"36 km al Oeste SO de Chimbote, Santa - Ancash",2022-02-24T11:47:14.000Z,,,2022-0107,107,3.8,,2022-02-24T00:00:00.000Z
51,,0,III Chimbote,,2022-03-01T17:28:12.000Z,-8.9846,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20220117_20220301_205404.pdf,-79.32,,1970-01-01T15:54:04.000Z,,7703,1,"82 km al Oeste de Chimbote, Santa - Ancash",2022-03-01T16:55:48.000Z,,,2022-0117,117,4.3,,2022-03-01T00:00:00.000Z
28,,0,,,2022-03-01T21:32:46.000Z,-10.6789,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20220118_20220302_010300.pdf,-78.3835,,1970-01-01T20:03:00.000Z,,7704,1,"72 km al Sur-SO de Huarmey, Huarmey - Ancash",2022-03-01T20:07:52.000Z,,,2022-0118,118,3.9,,2022-03-01T00:00:00.000Z
37,,0,IV Huarmey,,2022-03-31T23:59:07.000Z,-10.455,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20220213_20220401_040521.pdf,-78.5824,,1970-01-01T23:05:21.000Z,,7803,1,"64 km al SO de Huarmey, Huarmey - Ancash",2022-03-31T23:27:38.000Z,,,2022-0213,213,4.6,,2022-03-31T00:00:00.000Z
10,,0,III  Huallanca,,2022-04-05T03:10:00.000Z,-8.6618,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20220220_20220405_073842.pdf,-77.8067,,1970-01-01T02:38:42.000Z,,7810,1,"19 km al Norte-NE de Huallanca, Huaylas - Ancash",2022-04-05T02:43:33.000Z,,,2022-0220,220,3.9,,2022-04-05T00:00:00.000Z
48,,0,III  Casma,,2022-04-06T05:36:15.000Z,-9.8136,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20220222_20220406_035257.pdf,-78.9114,,1970-01-01T22:52:57.000Z,,7812,1,"76 km al Oeste SO de Casma, Casma - Ancash",2022-04-05T22:56:12.000Z,,,2022-0222,222,3.9,,2022-04-05T00:00:00.000Z
28,,0,III  Casma,,2022-05-18T01:45:54.000Z,-9.79,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20220310_20220518_064232.pdf,-78.85,,1970-01-01T01:42:32.000Z,,7904,1,"70 km al SO de Casma, Casma - Ancash",2022-05-18T01:45:54.000Z,,,2022-0310,310,3.9,,2022-05-18T00:00:00.000Z
