profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
28,,0,,,2025-01-06T21:26:47.000Z,-9.92,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250014_20250106_211851.pdf,-80.08,1970-01-01T21:18:51.000Z,1970-01-01T16:18:51.000Z,,9985,1,"189 km al SO de Chimbote, Santa - Ancash",2025-01-06T21:26:47.000Z,,,2025-0014,14,4.6,2025-01-06T00:00:00.000Z,2025-01-06T00:00:00.000Z
67,,0,II Chimbote,,2025-01-11T19:52:08.000Z,-9.06,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250027_20250111_192539.pdf,-78.71,1970-01-01T19:25:39.000Z,1970-01-01T14:25:39.000Z,,9998,1,"13 km al O de Chimbote, Santa - Ancash",2025-01-11T19:52:08.000Z,,,2025-0027,27,3.5,2025-01-11T00:00:00.000Z,2025-01-11T00:00:00.000Z
34,,0,,,2025-01-14T09:20:53.000Z,-9.71,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250034_20250114_091557.pdf,-79.11,1970-01-01T09:15:57.000Z,1970-01-01T04:15:57.000Z,,10005,1,"84 km al SO de Samanco, Santa - Ancash",2025-01-14T09:20:53.000Z,,,2025-0034,34,4.0,2025-01-14T00:00:00.000Z,2025-01-14T00:00:00.000Z
48,,0,II-III Chimbote,,2025-01-18T16:04:23.000Z,-9.39,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250045_20250118_155739.pdf,-79.19,1970-01-01T15:57:39.000Z,1970-01-01T10:57:39.000Z,,10016,1,"75 km al SO de Chimbote, Santa - Ancash",2025-01-18T16:04:23.000Z,,,2025-0045,45,3.7,2025-01-18T00:00:00.000Z,2025-01-18T00:00:00.000Z
52,,0,II-III Casma,,2025-01-21T10:53:11.000Z,-9.6,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250054_20250121_104511.pdf,-78.43,1970-01-01T10:45:11.000Z,1970-01-01T05:45:11.000Z,,10025,1,"20 km al SO de Casma, Casma - Ancash",2025-01-21T10:53:11.000Z,,,2025-0054,54,3.6,2025-01-21T00:00:00.000Z,2025-01-21T00:00:00.000Z
45,,0,III Casma,,2025-01-23T13:59:47.000Z,-9.81,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250056_20250123_135449.pdf,-78.79,1970-01-01T13:54:49.000Z,1970-01-01T08:54:49.000Z,,10027,1,"66 km al SO de Casma, Casma - Ancash",2025-01-23T13:59:47.000Z,,,2025-0056,56,4.2,2025-01-23T00:00:00.000Z,2025-01-23T00:00:00.000Z
45,,0,II-III Casma,,2025-01-27T08:39:56.000Z,-9.76,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250065_20250127_083334.pdf,-78.71,1970-01-01T08:33:34.000Z,1970-01-01T03:33:34.000Z,,10036,1,"55 km al SO de Casma, Casma - Ancash",2025-01-27T08:39:56.000Z,,,2025-0065,65,3.5,2025-01-27T00:00:00.000Z,2025-01-27T00:00:00.000Z
38,,0,,,2025-01-27T17:43:32.000Z,-10.69,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250067_20250127_174012.pdf,-78.71,1970-01-01T17:40:12.000Z,1970-01-01T12:40:12.000Z,,10038,1,"92 km al SO de Huarmey, Huarmey - Ancash",2025-01-27T17:43:32.000Z,,,2025-0067,67,4.1,2025-01-27T00:00:00.000Z,2025-01-27T00:00:00.000Z
30,,0,,,2025-02-13T09:39:46.000Z,-10.16,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250115_20250213_093617.pdf,-78.95,1970-01-01T09:36:17.000Z,1970-01-01T04:36:17.000Z,,10086,1,"88 km al O de Huarmey, Huarmey - Ancash",2025-02-13T09:39:46.000Z,,,2025-0115,115,4.2,2025-02-13T00:00:00.000Z,2025-02-13T00:00:00.000Z
15,,0,II-III Recuay,,2025-02-14T03:54:08.000Z,-9.81,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250119_20250214_035057.pdf,-77.29,1970-01-01T03:50:57.000Z,1970-01-01T22:50:57.000Z,,10090,1,"20 km al SE de Recuay, Recuay - Ancash",2025-02-14T03:54:08.000Z,,,2025-0119,119,3.6,2025-02-14T00:00:00.000Z,2025-02-13T00:00:00.000Z
