profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
30,,0,III-IV  Chimbote,,2023-01-06T11:53:24.000Z,-9.35,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230009_20230106_165001.pdf,-79.25,,1970-01-01T11:50:01.000Z,,8415,1,"79 km al SO de Chimbote, Santa - Ancash",2023-01-06T11:53:24.000Z,,,2023-0009,9,5.1,,2023-01-06T00:00:00.000Z
19,,0,III  Sihuas,,2023-01-06T14:33:17.000Z,-8.38,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230010_20230106_192727.pdf,-77.63,,1970-01-01T14:27:27.000Z,,8416,1,"19 km al N de Sihuas, Sihuas - Ancash",2023-01-06T14:33:17.000Z,,,2023-0010,10,3.5,,2023-01-06T00:00:00.000Z
35,,0,III-IV  Huarmey,,2023-02-01T05:56:35.000Z,-10.0,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230056_20230201_105224.pdf,-78.9,,1970-01-01T05:52:24.000Z,,8462,1,"82 km al O de Huarmey, Huarmey - Ancash",2023-02-01T05:56:35.000Z,,,2023-0056,56,4.8,,2023-02-01T00:00:00.000Z
105,,0,III  Chimbote,,2023-02-21T22:39:44.000Z,-8.97,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230081_20230222_033619.pdf,-78.43,,1970-01-01T22:36:19.000Z,,8487,1,"21 km al NE de Chimbote, Santa - Ancash",2023-02-21T22:39:44.000Z,,,2023-0081,81,4.1,,2023-02-21T00:00:00.000Z
15,,0,,,2023-02-23T01:21:58.000Z,-8.69,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230086_20230223_061804.pdf,-77.81,,1970-01-01T01:18:04.000Z,,8492,1,"16 km al NE de Huallanca, Huaylas - Ancash",2023-02-23T01:21:58.000Z,,,2023-0086,86,4.3,,2023-02-23T00:00:00.000Z
71,,0,III  Samanco,,2023-03-09T02:23:16.000Z,-9.3,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230112_20230309_072043.pdf,-78.74,,1970-01-01T02:20:43.000Z,,8518,1,"27 km al O de Samanco, Santa - Ancash",2023-03-09T02:23:16.000Z,,,2023-0112,112,3.8,,2023-03-09T00:00:00.000Z
36,,0,,,2023-03-13T11:27:45.000Z,-9.82,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230117_20230312_182947.pdf,-79.22,,1970-01-01T13:29:47.000Z,,8525,1,"101 km al SO de Samanco, Santa - Ancash",2023-03-13T11:27:45.000Z,,,2023-0117,117,4.2,,2023-03-12T00:00:00.000Z
44,,0,,,2023-03-17T10:37:09.000Z,-10.48,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230128_20230317_153326.pdf,-78.73,,1970-01-01T10:33:26.000Z,,8535,1,"78 km al SO de Huarmey, Huarmey - Ancash",2023-03-17T10:37:09.000Z,,,2023-0128,128,4.2,,2023-03-17T00:00:00.000Z
108,,0,,,2023-03-17T11:18:26.000Z,-9.62,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230129_20230317_161202.pdf,-78.24,,1970-01-01T11:12:02.000Z,,8536,1,"18 km al S de Casma, Casma - Ancash",2023-03-17T11:18:26.000Z,,,2023-0129,129,4.0,,2023-03-17T00:00:00.000Z
33,,0,III  Casma,,2023-03-29T22:06:30.000Z,-9.76,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230153_20230329_210841.pdf,-78.74,,1970-01-01T16:08:41.000Z,,8560,1,"58 km al SO de Casma, Casma - Ancash",2023-03-29T22:06:30.000Z,,,2023-0153,153,4.1,,2023-03-29T00:00:00.000Z
25,,0,III  Huarmey,,2023-04-10T10:23:19.000Z,-10.14,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230174_20230410_094840.pdf,-78.79,,1970-01-01T04:48:40.000Z,,8581,1,"70 km al O de Huarmey, Huarmey - Ancash",2023-04-10T10:23:19.000Z,,,2023-0174,174,4.2,,2023-04-10T00:00:00.000Z
18,,0,III  Cabana,,2023-04-18T16:58:26.000Z,-8.25,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230184_20230418_165235.pdf,-77.9,,1970-01-01T11:52:35.000Z,,8591,1,"20 km al NE de Cabana, Pallasca - Ancash",2023-04-18T16:58:26.000Z,,,2023-0184,184,3.6,,2023-04-18T00:00:00.000Z
17,,0,IV  Corongo,,2023-05-05T17:01:57.000Z,-8.65,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230209_20230505_165933.pdf,-77.84,,1970-01-01T11:59:33.000Z,,8616,1,"17 km al SE de Corongo, Corongo - Ancash",2023-05-05T17:01:57.000Z,,,2023-0209,209,3.9,,2023-05-05T00:00:00.000Z
34,,0,III  Chimbote,,2023-06-01T05:30:01.000Z,-9.1,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230265_20230601_052722.pdf,-79.34,,1970-01-01T00:27:22.000Z,,8672,1,"82 km al O de Chimbote, Santa - Ancash",2023-06-01T05:30:01.000Z,,,2023-0265,265,4.0,,2023-06-01T00:00:00.000Z
35,,0,III  Chimbote,,2023-06-07T12:51:17.000Z,-8.97,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20230291_20230607_124843.pdf,-79.24,,1970-01-01T07:48:43.000Z,,8698,1,"72 km al O de Chimbote, Santa - Ancash",2023-06-07T12:51:17.000Z,,,2023-0291,291,4.3,,2023-06-07T00:00:00.000Z
