profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
59,,0,III  Chimbote,,2021-09-01T10:52:12.000Z,-8.7933,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210071_20210210_062011.pdf,-79.0748,1970-01-01T06:20:11.000Z,1970-01-01T01:20:11.000Z,,6762,1,"62 km al Oeste NO de Chimbote, Santa - Ancash",2021-02-10T01:24:33.000Z,,,2021-0071,71,3.9,2021-02-10T00:00:00.000Z,2021-02-10T00:00:00.000Z
26,,0,,,2021-09-01T10:52:12.000Z,-9.7003,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210072_20210211_070440.pdf,-78.9547,1970-01-01T07:04:40.000Z,1970-01-01T02:04:40.000Z,,6763,1,"70 km al SO de Samanco, Santa - Ancash",2021-02-11T02:11:21.000Z,,,2021-0072,72,4.0,2021-02-11T00:00:00.000Z,2021-02-11T00:00:00.000Z
14,,0,III  Caraz,,2021-09-01T10:52:12.000Z,-9.0077,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210088_20210219_151551.pdf,-77.953,1970-01-01T15:15:51.000Z,1970-01-01T10:15:51.000Z,,6783,1,"16 km al Oeste NO de Caraz, Huaylas - Ancash",2021-02-19T10:20:12.000Z,,,2021-0088,88,3.8,2021-02-19T00:00:00.000Z,2021-02-19T00:00:00.000Z
17,,0,III  Carhuaz,,2021-09-01T11:05:57.000Z,-9.3727,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210101_20210228_001305.pdf,-77.6993,1970-01-01T00:13:05.000Z,1970-01-01T19:13:05.000Z,,6803,1,"12 km al Sur-SO de Carhuaz, Carhuaz - Ancash",2021-02-27T19:16:50.000Z,,,2021-0101,101,3.7,2021-02-28T00:00:00.000Z,2021-02-27T00:00:00.000Z
33,,0,III-IV  Chimbote,,2021-09-01T11:05:57.000Z,-9.2369,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210113_20210306_000948.pdf,-79.2022,1970-01-01T00:09:48.000Z,1970-01-01T19:09:48.000Z,,6820,1,"71 km al Oeste-SO de Chimbote, Santa - Ancash",2021-03-05T19:51:58.000Z,,,2021-0113,113,5.0,2021-03-06T00:00:00.000Z,2021-03-05T00:00:00.000Z
28,,0,"IV  Casma, Samanco, Chimbote",,2021-09-01T10:52:12.000Z,-9.8606,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210153_20210323_064255.pdf,-78.8932,1970-01-01T06:42:55.000Z,1970-01-01T01:42:55.000Z,,6879,1,"77 km al Oeste-SO de Casma, Casma - Ancash",2021-03-23T01:50:54.000Z,,,2021-0153,153,4.9,2021-03-23T00:00:00.000Z,2021-03-23T00:00:00.000Z
29,,0,III  Huarmey,,2021-09-01T10:52:12.000Z,-10.6132,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210165_20210330_091718.pdf,-78.7168,1970-01-01T09:17:18.000Z,1970-01-01T04:17:18.000Z,,6897,1,"87 km al SO de Huarmey, Huarmey - Ancash",2021-03-30T04:22:03.000Z,,,2021-0165,165,4.8,2021-03-30T00:00:00.000Z,2021-03-30T00:00:00.000Z
25,,0,III  Huarmey,,2021-09-01T11:05:57.000Z,-10.3204,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210211_20210423_012043.pdf,-78.7778,1970-01-01T01:20:43.000Z,1970-01-01T20:20:43.000Z,,6943,1,"74 km al Oeste-SO de Huarmey, Huarmey - Ancash",2021-04-22T20:32:01.000Z,,,2021-0211,211,4.5,2021-04-23T00:00:00.000Z,2021-04-22T00:00:00.000Z
90,,0,III  Chimbote,,2021-09-01T11:05:57.000Z,-8.6838,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210220_20210426_011820.pdf,-78.7842,1970-01-01T01:18:20.000Z,1970-01-01T20:18:20.000Z,,6952,1,"48 km al Norte NO de Chimbote, Santa - Ancash",2021-04-25T20:23:46.000Z,,,2021-0220,220,3.9,2021-04-26T00:00:00.000Z,2021-04-25T00:00:00.000Z
30,,0,III  Chimbote,,2021-09-01T10:52:12.000Z,-9.4105,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210281_20210513_114326.pdf,-79.267,1970-01-01T11:43:26.000Z,1970-01-01T06:43:26.000Z,,7014,1,"84 km al Oeste-SO de Chimbote, Santa - Ancash",2021-05-13T06:47:07.000Z,,,2021-0281,281,3.8,2021-05-13T00:00:00.000Z,2021-05-13T00:00:00.000Z
29,,0,,,2021-09-01T10:52:12.000Z,-9.4852,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210316_20210527_184204.pdf,-79.1332,1970-01-01T18:42:04.000Z,1970-01-01T13:42:04.000Z,,7049,1,"76 km al Sur-Oeste de Chimbote, Santa - Ancash",2021-05-27T13:47:10.000Z,,,2021-0316,316,4.0,2021-05-27T00:00:00.000Z,2021-05-27T00:00:00.000Z
46,,0,III  Casma,,2021-09-01T10:52:12.000Z,-9.9556,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210349_20210615_231939.pdf,-78.8563,1970-01-01T23:19:39.000Z,1970-01-01T18:19:39.000Z,,7082,1,"81 km al Sur-Oeste de Casma, Casma - Ancash",2021-06-15T18:25:14.000Z,,,2021-0349,349,4.1,2021-06-15T00:00:00.000Z,2021-06-15T00:00:00.000Z
16,,0,III  Huallanca,,2021-09-01T10:52:12.000Z,-8.6746,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210507_20210818_131110.pdf,-77.8449,1970-01-01T13:11:10.000Z,1970-01-01T08:11:10.000Z,,7249,1,"16 km al Norte de Huallanca, Huaylas - Ancash",2021-08-18T08:15:19.000Z,,,2021-0507,507,3.6,2021-08-18T00:00:00.000Z,2021-08-18T00:00:00.000Z
12,,0,"III  Huallanca, Corongo",,2021-09-01T11:05:57.000Z,-8.678,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210509_20210820_004430.pdf,-77.8573,1970-01-01T00:44:30.000Z,1970-01-01T19:44:30.000Z,,7251,1,"16 km al N de Huallanca, Huaylas - Ancash",2021-08-19T19:49:32.000Z,,,2021-0509,509,3.6,2021-08-20T00:00:00.000Z,2021-08-19T00:00:00.000Z
16,,0,III  Huallanca,,2021-09-01T10:52:12.000Z,-8.675,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210529_20210830_090613.pdf,-77.8435,1970-01-01T09:06:13.000Z,1970-01-01T04:06:13.000Z,,7271,1,"16 km al Norte de Huallanca, Huaylas - Ancash",2021-08-30T04:11:32.000Z,,,2021-0529,529,3.9,2021-08-30T00:00:00.000Z,2021-08-30T00:00:00.000Z
39,,0,III  Chimbote,,2022-01-15T10:57:42.000Z,-9.3206,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210535_20210903_033319.pdf,-78.569,1970-01-01T03:33:19.000Z,1970-01-01T22:33:19.000Z,,7277,1,"28 km al Sur de Chimbote, Santa - Ancash",2021-09-02T22:37:57.000Z,,,2021-0535,535,3.2,2021-09-03T00:00:00.000Z,2021-09-02T00:00:00.000Z
16,,0,III  Huallanca,,2022-01-15T10:57:42.000Z,-8.6773,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210544_20210905_054141.pdf,-77.8369,1970-01-01T05:41:41.000Z,1970-01-01T00:41:41.000Z,,7286,1,"16 km al N de Huallanca, Huaylas - Ancash",2021-09-05T00:46:38.000Z,,,2021-0544,544,3.6,2021-09-05T00:00:00.000Z,2021-09-05T00:00:00.000Z
50,,0,III  Chimbote,,2022-01-15T10:57:42.000Z,-9.1062,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210548_20210907_021220.pdf,-79.1025,1970-01-01T02:12:20.000Z,1970-01-01T21:12:20.000Z,,7290,1,"57 km al Oeste de Chimbote, Santa - Ancash",2021-09-06T21:16:29.000Z,,,2021-0548,548,3.9,2021-09-07T00:00:00.000Z,2021-09-06T00:00:00.000Z
48,,0,III  Chimbote,,2022-01-15T10:57:42.000Z,-8.8986,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210549_20210907_045106.pdf,-79.1617,1970-01-01T04:51:06.000Z,1970-01-01T23:51:06.000Z,,7291,1,"66 km al Oeste-NO de Chimbote, Santa - Ancash",2021-09-06T23:56:33.000Z,,,2021-0549,549,3.5,2021-09-07T00:00:00.000Z,2021-09-06T00:00:00.000Z
65,,0,III  Chimbote,,2022-01-15T10:57:42.000Z,-8.8455,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210551_20210907_154327.pdf,-79.1864,1970-01-01T15:43:27.000Z,1970-01-01T10:43:27.000Z,,7296,1,"71 km al Oeste NO de Chimbote, Santa - Ancash",2021-09-07T10:47:53.000Z,,,2021-0551,551,3.8,2021-09-07T00:00:00.000Z,2021-09-07T00:00:00.000Z
31,,0,,,2022-01-15T10:57:42.000Z,-9.9203,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210555_20210909_175818.pdf,-80.0111,1970-01-01T17:58:18.000Z,1970-01-01T12:58:18.000Z,,7300,1,"182 km al Oeste-SO de Samanco, Santa - Ancash",2021-09-09T13:04:32.000Z,,,2021-0555,555,4.4,2021-09-09T00:00:00.000Z,2021-09-09T00:00:00.000Z
33,,0,,,2022-01-15T10:57:42.000Z,-11.0461,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210559_20210911_065215.pdf,-79.2427,1970-01-01T06:52:15.000Z,1970-01-01T01:52:15.000Z,,7304,1,"161 km al Sur SO de Huarmey, Huarmey - Ancash",2021-09-11T01:56:21.000Z,,,2021-0559,559,4.3,2021-09-11T00:00:00.000Z,2021-09-11T00:00:00.000Z
23,,0,III  Huarmey,,2022-01-15T10:57:42.000Z,-9.9652,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210562_20210911_140821.pdf,-78.8258,1970-01-01T14:08:21.000Z,1970-01-01T09:08:21.000Z,,7307,1,"75 km al O de Huarmey, Huarmey - Ancash",2021-09-11T09:11:53.000Z,,,2021-0562,562,4.3,2021-09-11T00:00:00.000Z,2021-09-11T00:00:00.000Z
28,,0,III  Chimbote,,2022-01-15T10:57:42.000Z,-9.0665,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210577_20210916_185824.pdf,-79.3026,1970-01-01T18:58:24.000Z,1970-01-01T13:58:24.000Z,,7322,1,"79 km al Oeste de Chimbote, Santa - Ancash",2021-09-16T14:09:17.000Z,,,2021-0577,577,4.1,2021-09-16T00:00:00.000Z,2021-09-16T00:00:00.000Z
22,,0,III  Huallanca,,2022-01-15T10:57:42.000Z,-8.6889,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210587_20210919_200213.pdf,-77.838,1970-01-01T20:02:13.000Z,1970-01-01T15:02:13.000Z,,7332,1,"15 km al N de Huallanca, Huaylas - Ancash",2021-09-19T15:06:00.000Z,,,2021-0587,587,4.0,2021-09-19T00:00:00.000Z,2021-09-19T00:00:00.000Z
13,,0,III  Huallanca,,2022-01-15T10:57:42.000Z,-8.6833,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210595_20210924_094224.pdf,-77.821,1970-01-01T09:42:24.000Z,1970-01-01T04:42:24.000Z,,7341,1,"16 km al Norte-NE de Huallanca, Huaylas - Ancash",2021-09-24T04:49:09.000Z,,,2021-0595,595,3.8,2021-09-24T00:00:00.000Z,2021-09-24T00:00:00.000Z
