profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
35,,0,III Huarmey,,2024-01-01T07:08:59.000Z,-10.69,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240001_20240101_070607.pdf,-78.54,,1970-01-01T02:06:07.000Z,,9174,1,"81 km al SO de Huarmey, Huarmey - Ancash",2024-01-01T07:08:59.000Z,,,2024-0001,1,4.2,,2024-01-01T00:00:00.000Z
46,,0,III Samanco,,2024-01-29T20:05:09.000Z,-9.58,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240052_20240129_200126.pdf,-78.69,,1970-01-01T15:01:26.000Z,,9225,1,"42 km al SO de Samanco, Santa - Ancash",2024-01-29T20:05:09.000Z,,,2024-0052,52,3.9,,2024-01-29T00:00:00.000Z
51,,0,,,2024-02-11T18:22:31.000Z,-9.73,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240093_20240211_181728.pdf,-78.64,,1970-01-01T13:17:28.000Z,,9266,1,"47 km al SO de Casma, Casma - Ancash",2024-02-11T18:22:31.000Z,,,2024-0093,93,4.0,,2024-02-11T00:00:00.000Z
19,,0,IV Cabana,,2024-02-19T00:14:44.000Z,-8.24,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240112_20240219_001015.pdf,-77.87,,1970-01-01T19:10:15.000Z,,9285,1,"23 km al NE de Cabana, Pallasca - Ancash",2024-02-19T00:14:44.000Z,,,2024-0112,112,4.2,,2024-02-18T00:00:00.000Z
35,,0,IV-V Chimbote,,2024-02-19T16:26:53.000Z,-9.44,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240116_20240219_162317.pdf,-79.14,,1970-01-01T11:23:17.000Z,,9289,1,"73 km al SO de Chimbote, Santa - Ancash",2024-02-19T16:26:53.000Z,,,2024-0116,116,5.5,,2024-02-19T00:00:00.000Z
25,,0,,,2024-02-29T14:52:34.000Z,-10.19,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240135_20240229_144627.pdf,-80.32,,1970-01-01T09:46:27.000Z,,9308,1,"225 km al SO de Samanco, Santa - Ancash",2024-02-29T14:52:34.000Z,,,2024-0135,135,4.3,,2024-02-29T00:00:00.000Z
37,,0,II Chimbote,,2024-03-17T18:47:23.000Z,-9.36,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240167_20240317_184100.pdf,-79.19,,1970-01-01T13:41:00.000Z,,9340,1,"73 km al SO de Chimbote, Santa - Ancash",2024-03-17T18:47:23.000Z,,,2024-0167,167,3.8,,2024-03-17T00:00:00.000Z
37,,0,IV Huarmey,,2024-03-18T06:48:06.000Z,-10.72,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240168_20240318_064550.pdf,-78.53,,1970-01-01T01:45:50.000Z,,9341,1,"83 km al SO de Huarmey, Huarmey - Ancash",2024-03-18T06:48:06.000Z,,,2024-0168,168,5.0,,2024-03-18T00:00:00.000Z
90,,0,II-III Chimbote,,2024-04-03T20:30:37.000Z,-9.01,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240214_20240403_202519.pdf,-78.5,,1970-01-01T15:25:19.000Z,,9387,1,"12 km al NE de Chimbote, Santa - Ancash",2024-04-03T20:30:37.000Z,,,2024-0214,214,3.5,,2024-04-03T00:00:00.000Z
18,,0,II-III Sihuas,,2024-04-11T14:03:57.000Z,-8.31,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20240229_20240411_135904.pdf,-77.72,,1970-01-01T08:59:04.000Z,,9402,1,"28 km al N de Sihuas, Sihuas - Ancash",2024-04-11T14:03:57.000Z,,,2024-0229,229,4.0,,2024-04-11T00:00:00.000Z
