fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-12.3,-77.18,52,4.8,"IV Callao, Lima; III Chilca, Ancón ",27 Km al S de Callao,
,,-11.99,-77.22,47,4,"II Lima, Callao",10 Km al NO de Callao,
,,-14.31,-75.73,32,4,II Ica,28 Km al S de Ica ,
,,-18.82,-69.63,117,5.4,"II Tacna, Tarata",112 Km al SE de Tacna ,
,,-10.67,-74.62,131,4.5,II Oxapampa ,86 Km al E de Oxapampa ,
,,-12.85,-76.92,53,4.3,II Mala Chilca Lima ,65 Km al O-NO de San Vicente de Cañete,
,,-12.31,-77.11,49,3.7,II Lima ,28 Km al S de Callao ,
,,-10.98,-78.15,45,4.3,II Supe ,50 Km al SO de Barranca ,
,,-18.34,-70.57,51,4,II Tacna ,50 Km al SO de Tacna,
,,-5.45,-77.21,46,4.5,"II Nueva Cajamarca, Rioja ",68 Km al N de Rioja,
,,-18.84,-70.09,23,4.6,II Tacna ,93 Km al S de Tacna,
,,-15.97,-73.53,56,4.6,"II Caraveli, Chala",28 Km al NE de Atico,
,,-12.54,-77.13,52,3.8,"II Lima, Callao",53 Km al S de Callao,
,,-14.3,-75.78,67,4.9,"III Ica;  II Palpa, Nazca, Paracas, Pisco ",26 Km al SO de Ica,
,,-10.11,-76.16,108,4.4,II Huanuco ,5 Km al NE de Ambo ,
,,-13.4,-76.23,64,4.4,"III Tambo de Mora, II Chincha Pisco ",11 Km al O de Chincha Alta,
,,-5.75,-80.76,40,4.1,"II Paita, Sechura",22 Km al S de Sechura ,
,,-11.93,-77.44,45,4,"II Huacho, Lima, Callao",36 Km al NO de Callao ,
,,-12.88,-76.18,77,4.2,II Lunahuana,11 Km al N-NO de Lunahuana ,
,,-7.93,-78.85,47,4,"II Trujillo, Otuzco",28 Km al NE de Trujillo ,
,,-6.28,-80.14,51,4.4,"II Olmos, Lambayeque",54 Km al NO de Lambayeque ,
,,-12.63,-77.68,48,5,"II Lima, Callao",87 Km al SO de Callao ,
,,-5.49,-80.99,40,4.2,II Sechura,20 Km al O de Sechura ,
,,-5.02,-80.6,77,5,"III Sullana, Piura  ",17 Km al SE de Sullana ,
,,-16.12,-74.58,25,4.2,II-III Chala  ,48 Km al SO de Chala ,
,,-8.52,-79.24,61,4.4,"   II Trujillo, Salaverry",47 Km al SO de Salaverry ,
,,-10.53,-78.38,55,4.5,III Huarmey;  II Casma  ,57 Km al S-SO de Huarmey,
,,-15.27,-74.65,87,4.5,III Acari II Nazca Coracora Caraveli chala ,18 Km al N-NO de Acarí,
,,-14.89,-71.91,128,5.2,II Cusco ,53 Km al S de Santo Tomás ,
,,-10.27,-76.11,120,4.7,II Huanuco Ambo Yanahuanca Panao ,19 Km al SE de Ambo ,
,,-15.33,-75.88,22,4.7,II Ica Palpa Nazca,77 Km al O de San Juan de Marcona,
,,-8.9,-79.58,50,4.6,II Chimbote Trujillo,107 Km al SO de Viru,
,,-16.32,-71.91,17,4.4,II-III Arequipa,40 km al O de Arequipa,
,,-9,-79.06,45,4.2,II Chimbote Trujillo,54 Oeste de Chimbote,
,,-10.78,-76.2,14,4.4,III-IV Cerro de Pasco;  II Yanahuanca  ,13 Km al S-SE de Cerro De Pasco ,
,,-5.83,-77.17,33,4,II Nueva Cajamarca,19 Km al NE de Nueva Cajamarca,
,,-17.65,-70.87,103,4,II Ilo  ,13 Km al O-SO de Locumba ,
,,-16.56,-71.68,47,3.9,II Arequipa  ,25 Km al SO de Arequipa ,
,,-10.6,-78.48,52,4.5,II-III Huarmey,69 km al SO de Huarmey,
,,-13.93,-75.96,65,5.5,V Pisco; III-IV Ica; II-III Lima,36 Km al SE de Pisco ,
,,-13.87,-76.11,62,4.3,II-III Pisco,20 Km al S-SE de Pisco ,
,,-14.03,-76.07,54,4,II Ica  ,38 Km al S-SE de Pisco ,
,,-11.09,-74.68,9,3.9,II Satipo,18 Km al N-NO de Satipo ,
,,-8.84,-79.33,60,4.3,"II Trujillo, Chimbote",79 Km al SO de Viru,
,,-11.45,-78.02,50,4,II Huacho  ,58 Km al SO de Huacho ,
,,-18.05,-70.06,98,6.1,"IV Tacna;  III-IV Ilo,  Moquegua;  III Arequipa;  II-III Ocoña  ",21 Km al E-SE de Tacna ,
,,-13.24,-76.44,60,4,II Cerro Azul (Dpto  Lima) ,19 Km al S de San Vicente de Cañete ,
,,-18.18,-70.33,116,4.3,II Tacna  ,20 Km al SO de Tacna ,
,,-12.03,-76.41,100,4.3,"II Lima, Chosica, Matucana",21 Km al SO de Matucana ,
,,-13.47,-71.86,10,3.8,II-III Cusco; II Urubamba,14 Km al E de Cusco ,
,,-16.98,-71.07,110,4.8,"II Moquegua,  Torata  ",28 Km al NO de Moquegua ,
,,-15.99,-74.8,40,4.6,"III Yauca, Acari; II Chala",47 Km al S de Lomas,
,,-11.29,-77.58,73,4.3,II - III Lima; Huacho,20 km al SO de Huacho,
,,-13.7,-76.37,43,4.7,III Pisco,18 Km al O de Pisco,
,,-10.58,-75.55,39,4.6,II-III Oxapampa;  II Posuzo  ,16 Km al O de Oxapampa ,
,,-12.6,-76.45,86,3.9,II Lima  ,54 Km al N de San Vicente de Cañete ,
,,-11.37,-77.53,69,4,"II Huacho,  Huaral,  Lima  ",29 Km al S-SE de Huacho ,
,,-15.1,-75.54,40,4.4,II Palpa  ,73 Km al SO de Nasca ,
,,-15.98,-72.75,110,6.1,V Chuquibamba; IV Caraveli; III-IV Arequipa  ,19 Km al SO de Chuquibamba ,
,,-12.7,-77.39,40,4.3,III Lima  ,76 Km al S de Callao ,
,,-18.22,-70.51,90,4.7,"II Tacna, Moquegua, Arequipa",37 Km al SO de Tacna,
,,-14.02,-76.12,50,4.1,III Paracas; II Pisco  ,33 Km al S de Pisco ,
,,-13.47,-76.09,64,3.9,II Chincha Alta  (Dpto. Ica)   ,7 Km al SE de Chincha Alta ,
,,-11.71,-76.96,96,4.7,"IV Matucana; III Lima, Huacho",38 Km al SE de Huaral ,
,,-13.51,-76.21,48,4.3,III  Pisco  ,22 Km al N de Pisco ,
,,-11.57,-76.44,100,4,"II Canta, San Mateo",23 Km al SE de Canta,
,,-13.04,-76.2,96,4.2,"II-III San Vicente de Cañete, II Lima  ",21 Km al E de San Vicente de Cañete ,
,,-4.47,-79.74,25,4,II Ayabaca  ,19 Km al N de Ayabaca ,
,,-12.17,-77.65,44,4.2,"II Callao, Lima  ",57 Km al O de Callao ,
,,-10.98,-74.8,22,4.2,"II Satipo, La Merced  ",35 Km al NO de Satipo ,
,,-14.71,-76.13,34,5.6,IV Ica,84 Km al SSO de Ica ,
,,-4.27,-76.38,128,5.2,"II Bagua, Nueva Cajamarca  ",283 Km al E-NE de Bagua ,
,,-12.12,-77.05,54,3.8,II Lima  ,8 Km al S de Lima ,
,,-15.91,-73.57,85,4.2,II Caravelí   ,28 Km al SO de Caravelí ,
,,-11.9,-76.35,22,4,"II Lima, Matucana  ",7 Km al SE de Matucana ,
,,-11.86,-76.37,24,4.1,"II-III Lima, Matucana  ",2 Km al SE de Matucana ,
,,-10.45,-78.58,36,4.3,II Huarmey  ,64 Km al SO de Huarmey ,
,,-14.36,-75.3,65,4.2,II Palpa  ,23 Km al NO de Palpa ,
