profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
37,,0,III Trujillo,,2021-09-01T10:52:12.000Z,-8.2573,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210001_20210101_131540.pdf,-79.7605,1970-01-01T13:15:40.000Z,1970-01-01T08:15:40.000Z,,6678,1,"82 km al Oeste-SO de Trujillo, Trujillo - La Libertad",2021-01-01T09:07:54.000Z,,,2021-0001,1,4.4,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z
38,,0,III Atico,,2021-09-01T11:05:57.000Z,-16.2533,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210002_20210103_034251.pdf,-73.7271,1970-01-01T03:42:51.000Z,1970-01-01T22:42:51.000Z,,6679,1,"12 km al Oeste-SO de Atico, Caraveli - Atico",2021-01-02T23:03:39.000Z,,,2021-0002,2,4.1,2021-01-03T00:00:00.000Z,2021-01-02T00:00:00.000Z
31,,0,III Pimentel,,2021-09-01T10:52:12.000Z,-7.2251,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210003_20210103_101419.pdf,-80.9195,1970-01-01T10:14:19.000Z,1970-01-01T05:14:19.000Z,,6680,1,"117 km al Oeste-SO de Pimentel, Chiclayo, Lambayeque",2021-01-03T05:50:36.000Z,,,2021-0003,3,4.6,2021-01-03T00:00:00.000Z,2021-01-03T00:00:00.000Z
61,,0,III Chala,,2021-09-01T10:52:12.000Z,-15.8968,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210004_20210103_120659.pdf,-74.2001,1970-01-01T12:06:59.000Z,1970-01-01T07:06:59.000Z,,6681,1,"6 km al Sur-Este de Chala, Caraveli - Arequipa",2021-01-03T07:34:18.000Z,,,2021-0004,4,3.9,2021-01-03T00:00:00.000Z,2021-01-03T00:00:00.000Z
11,,0,III Tarata,,2021-09-01T10:52:12.000Z,-17.5621,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210005_20210103_145131.pdf,-70.04,1970-01-01T14:51:31.000Z,1970-01-01T09:51:31.000Z,,6682,1,"10 km al Sur de Tarata, Tarata - Tacna",2021-01-03T10:31:19.000Z,,,2021-0005,5,3.5,2021-01-03T00:00:00.000Z,2021-01-03T00:00:00.000Z
55,,0,III Lomas,,2021-09-01T10:52:12.000Z,-15.5917,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210006_20210104_162424.pdf,-74.857,1970-01-01T16:24:24.000Z,1970-01-01T11:24:24.000Z,,6683,1,"3 km al Sur-SO de Lomas, Caraveli - Arequipa",2021-01-04T12:51:05.000Z,,,2021-0006,6,4.1,2021-01-04T00:00:00.000Z,2021-01-04T00:00:00.000Z
108,,0,III Tacna,,2021-09-01T10:52:12.000Z,-19.6883,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210007_20210106_163841.pdf,-69.4649,1970-01-01T16:38:41.000Z,1970-01-01T11:38:41.000Z,,6684,1,"204 km al Sur-SE de Tacna, Tacna - Tacna",2021-01-07T17:28:42.000Z,,,2021-0007,7,5,2021-01-06T00:00:00.000Z,2021-01-06T00:00:00.000Z
7,,0,III Huambo,,2021-09-01T10:52:12.000Z,-15.7106,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210008_20210106_230004.pdf,-72.0329,1970-01-01T23:00:04.000Z,1970-01-01T18:00:04.000Z,,6685,1,"9 km al Este-NE de Huambo, Caylloma - Arequipa",2021-01-07T17:29:51.000Z,,,2021-0008,8,3.4,2021-01-06T00:00:00.000Z,2021-01-06T00:00:00.000Z
146,,0,III Lagunas,,2021-09-01T10:52:12.000Z,-4.721,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210009_20210107_235300.pdf,-75.9001,1970-01-01T23:53:00.000Z,1970-01-01T18:53:00.000Z,,6686,1,"62 km al Norte-NO de Lagunas, Alto Amazonas - Loreto",2021-01-07T20:06:24.000Z,,,2021-0009,9,4.4,2021-01-07T00:00:00.000Z,2021-01-07T00:00:00.000Z
17,,0,III Cutervo,,2021-09-01T10:52:12.000Z,-6.3476,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210010_20210108_082507.pdf,-78.7238,1970-01-01T08:25:07.000Z,1970-01-01T03:25:07.000Z,,6687,1,"11 km al Este - NE de Cutervo, Cutervo - Cajamarca",2021-01-08T04:01:48.000Z,,,2021-0010,10,3.9,2021-01-08T00:00:00.000Z,2021-01-08T00:00:00.000Z
12,,0,III Vitor,,2021-09-01T10:52:12.000Z,-16.4913,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210011_20210108_225506.pdf,-71.9079,1970-01-01T22:55:06.000Z,1970-01-01T17:55:06.000Z,,6688,1,"4 km al Sur-Este de Vitor, Arequipa - Arequipa",2021-01-08T18:22:54.000Z,,,2021-0011,11,3.6,2021-01-08T00:00:00.000Z,2021-01-08T00:00:00.000Z
36,,0,III Moquegua,,2021-09-01T10:52:12.000Z,-17.2285,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210012_20210109_064059.pdf,-71.3018,1970-01-01T06:40:59.000Z,1970-01-01T01:40:59.000Z,,6689,1,"39 km al Oeste de Moquegua, Mariscal Nieto - Moquegua",2021-01-09T02:07:43.000Z,,,2021-0012,12,3.5,2021-01-09T00:00:00.000Z,2021-01-09T00:00:00.000Z
42,,0,,,2021-09-01T11:05:57.000Z,-12.7169,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210013_20210111_040011.pdf,-78.1989,1970-01-01T04:00:11.000Z,1970-01-01T23:00:11.000Z,,6690,1,136 km al Oeste-SO de Callao. Callao - Callao,2021-01-11T09:52:06.000Z,,,2021-0013,13,4.4,2021-01-11T00:00:00.000Z,2021-01-10T00:00:00.000Z
152,,0,,,2021-09-01T10:52:12.000Z,-3.6921,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210014_20210111_060550.pdf,-74.8913,1970-01-01T06:05:50.000Z,1970-01-01T01:05:50.000Z,,6691,1,"172 km al Oeste-NO de Nauta, Loreto - Loreto",2021-01-11T09:58:05.000Z,,,2021-0014,14,4.7,2021-01-11T00:00:00.000Z,2021-01-11T00:00:00.000Z
52,,0,,,2021-09-01T10:52:12.000Z,-14.6113,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210015_20210111_082220.pdf,-75.6962,1970-01-01T08:22:20.000Z,1970-01-01T03:22:20.000Z,,6692,1,"56 km al Oeste de Palpa, Palpa - Ica",2021-01-11T10:05:40.000Z,,,2021-0015,15,4.2,2021-01-11T00:00:00.000Z,2021-01-11T00:00:00.000Z
47,,0,"III Chilca, Lima",,2021-09-01T10:52:12.000Z,-12.452,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210016_20210112_184832.pdf,-76.9323,1970-01-01T18:48:32.000Z,1970-01-01T13:48:32.000Z,,6693,1,"22 km al Oeste-NO de Chilca, Cañete - Lima",2021-01-12T16:44:25.000Z,,,2021-0016,16,4.1,2021-01-12T00:00:00.000Z,2021-01-12T00:00:00.000Z
25,,0,III Marcona,,2021-09-01T11:05:57.000Z,-15.0003,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210017_20210113_011206.pdf,-75.6142,1970-01-01T01:12:06.000Z,1970-01-01T20:12:06.000Z,,6694,1,"63 km al Nor-Oeste de Marcona, Nazca - Ica",2021-01-12T20:56:18.000Z,,,2021-0017,17,4,2021-01-13T00:00:00.000Z,2021-01-12T00:00:00.000Z
16,,0,III Huancabamba,,2021-09-01T10:52:12.000Z,-10.2711,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210018_20210115_054750.pdf,-75.5307,1970-01-01T05:47:50.000Z,1970-01-01T00:47:50.000Z,,6695,1,"13 km al N de Huancabamba, Oxapampa - Pasco",2021-01-15T09:48:39.000Z,,,2021-0018,18,4,2021-01-15T00:00:00.000Z,2021-01-15T00:00:00.000Z
45,,0,III Mancora,,2021-09-01T10:52:12.000Z,-3.9402,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210019_20210115_151344.pdf,-81.2469,1970-01-01T15:13:44.000Z,1970-01-01T10:13:44.000Z,,6696,1,"28 km al Nor-Oeste de Mancora, Talara - Piura",2021-01-15T14:33:49.000Z,,,2021-0019,19,4.6,2021-01-15T00:00:00.000Z,2021-01-15T00:00:00.000Z
51,,0,"III-IV Chilca, Cañete",,2021-09-01T10:52:12.000Z,-12.6995,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210020_20210115_235116.pdf,-77.1242,1970-01-01T23:51:16.000Z,1970-01-01T18:51:16.000Z,,6697,1,"47 km al Oeste-SO de Chilca, Cañete - Lima",2021-01-16T08:01:54.000Z,,,2021-0020,20,4.5,2021-01-15T00:00:00.000Z,2021-01-15T00:00:00.000Z
29,,0,"IV Pisco, Paracas",,2021-09-01T11:05:57.000Z,-13.8529,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210021_20210116_044659.pdf,-76.7581,1970-01-01T04:46:59.000Z,1970-01-01T23:46:59.000Z,,6698,1,"62 km al Oeste-SO de Pisco, Pisco - Ica",2021-01-16T08:04:46.000Z,,,2021-0021,21,4.5,2021-01-16T00:00:00.000Z,2021-01-15T00:00:00.000Z
21,,0,III Barranca,,2021-09-01T10:52:12.000Z,-10.7254,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210022_20210116_194419.pdf,-78.527,1970-01-01T19:44:19.000Z,1970-01-01T14:44:19.000Z,,6699,1,"84 km al Oeste de Barranca, Barranca - Lima",2021-01-16T17:06:52.000Z,,,2021-0022,22,4.5,2021-01-16T00:00:00.000Z,2021-01-16T00:00:00.000Z
39,,0,III Ica,,2021-09-01T11:05:57.000Z,-14.7413,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210023_20210117_010508.pdf,-76.1022,1970-01-01T01:05:08.000Z,1970-01-01T20:05:08.000Z,,6700,1,"85 km al Sur-SO de Ica, Ica - Ica",2021-01-16T20:47:56.000Z,,,2021-0023,23,4.6,2021-01-17T00:00:00.000Z,2021-01-16T00:00:00.000Z
106,,0,,,2021-09-01T10:52:12.000Z,-13.5512,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20210024_20210117_060931.pdf,-74.8169,1970-01-01T06:09:31.000Z,1970-01-01T01:09:31.000Z,,6701,1,"62 km al Este-SE de Castrovirreyna, Castrovirreyna - Huancavelica",2021-01-17T01:49:29.000Z,,,2021-0024,24,4,2021-01-17T00:00:00.000Z,2021-01-17T00:00:00.000Z
