fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-7.78,-73.87,195,4.7,II III Pucallpa II Contamana,98 Km al NE de Pucallpa,
,,-11.17,-78.09,52,4.2,II Huacho,53 Km al O de Huacho,
,,-15.34,-75.01,43,4.2,II San Juan de Marcona,17 Km al Este de San Juan de Marcona,
,,-13.48,-71.96,7,3.5,II Cusco  ,4 Km al NE de Cuzco,
,,-15.67,-71.78,15,3.9,II Maca,4 Km al Sur-SO de Maca,
,,-5.41,-78.82,25,4.3,II Jaen Bagua,31 Km al Norte de Jaen,
,,-15.68,-71.8,14,3.5,II Maca Madrigal,"6 km al Sur-Oeste de Maca, 9 km al Sur de Madrigal",
,,-15.65,-71.82,12,3.8,II III Maca Madrigal,"6 km al Oeste de Maca, 6 km la Sur-Oeste de Madrigal",
,,-9.04,-78.71,59,4.3,II Chimbote,14 Km al Oeste-NO de Chimbote,
,,-16.03,-74.14,41,5.1,"II IV Chala II III Yauca Atico
 II Acarí Caravelí",22 Km al Sur-SE de Chala,
,,-3.65,-80.23,84,4.6,II III Zarumilla,17 km al Sur de Zarumilla-Tumbes,
,,-3.43,-80.36,72,5.2,III IV Zarumilla Aguas Verdes Zorritos,13 Km al No de Zarumilla,
,,-16.59,-71.79,24,3.8,II Arequipa  ,21 Km al SE de Vítor,
,,-12.96,-76.67,66,4.2,III Cañete II Lima,34 km al Oeste-NO de San Vicente de Cañete,
,,-15.66,-71.82,14,3.8,II Maca,06 Km al Oeste de Maca,
,,-15.69,-71.8,15,3.8,II Maca,06 Km al SO de Maca,
,,-12.17,-76.09,121,4.3,II Lima,37 Km al NO de Yauyos,
,,-15.69,-71.83,10,3.9, II Maca Pinchollo,9 Km al SO de Maca,
,,-15.71,-71.75,12,3.9,II III Maca  II Pinchollo  ,8 Km al S de Maca,
,,-15.65,-71.83,15,3.8,II Maca Pinchollo,7 Km al Oeste de Maca,
,,-15.66,-71.83,14,3.8,II Maca Pinchollo,7 Km al Oeste de Maca,
,,-15.67,-71.81,12,3.9,II Maca Pinchollo,6 Km al SO de Maca,
,,-10.31,-78.57,36,4.3,II Huarmey,54 Km al SO de Huarmey,
,,-14.15,-75.59,72,4.2,II Ica,16 Km al Este-SE de Ica,
,,-14.52,-75.78,42,4.3,II Ica,51 Km al Sur de Ica,
