fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-19.55,-70.63,23,5.2,"III Tacna, II Ilo, Arequipa",176 km al Sur-SO de Tacna-Tacna,
,,-4.92,-76.47,118,5.9,"III-IV Yurimaguas, Moyobamba, III Chachapoyas,  Bagua, II Cutervo, Chota",115 km. Norte-NO de Yurimaguas-Loreto,
,,-15.71,-71.86,15,3.7,"III Pinchollo; II Huambo, Maca",8 km al Sur-SO de Pinchollo-Arequipa,
,,-11.49,-78.58,28,5.1,"III Huacho, Barranca; II-III Lima, Callao",114 km al Oeste-SO de Huacho-Lima,
,,-14.74,-75.46,23,4.2,"II Palpa, Ica",38 km al SO de Palpa-Ica,
,,-2.97,-80.67,44,4.4,II Zarumilla,74 km al NO de Zarumilla-Tumbes,
,,-7.75,-75.51,138,5,"II Tocache Nuevo, Contamana",121 km Este-NE de Tocache Nuevo-Loreto,
,,-14.66,-75.6,41,4.2,II Palpa,47 km al Oeste SO de Palpa-Ica,
,,-13.43,-76.43,58,4.2,"II-III Tambo de Mora, Pisco ,Chincha, Cañete",27 km al Oeste de Tambo de Mora-Ica,
,,-15.77,-71.78,8,3.2,II Maca. Pinchollo,14 km al Sur de Maca-Arequipa,
,,-15.74,-71.83,12,4.5,"II Maca, Madrigal, Cabanaconde",13 km al Sur-SO de Maca-Arequipa,
,,-15.43,-70.84,6,3.9,"II Ocuviri, Lampa",31 km al Sur-SE de Ocuviri-Puno,
,,-15.96,-74.22,67,4.6,"II-III Chala; II Yauca,  Atico",12 km al Sur de Chala-Arequipa,
,,-16.12,-74.29,32,4.5,II Chala,31 km al Sur de Chala-Arequipa,
,,-15.73,-74.87,7,4.4,II Chivay,31 km al Oeste-SO de Chivay-Arequipa,
,,-9.97,-79.1,30,4.6,"II Casma, Samanco",104 km al Oeste -SO de Casma-Ancash,
,,-6.5,-75.31,39,4.5,II Contamana,100 km al Norte-NO de Contamana-Loreto,
,,-15.68,-71.86,13,3.8,"II Pinchollo, Maca",6  km al SO de Pinchollo-Arequipa,
,,-12.34,-77.64,21,4.5,"II-III Lima, Callao",62 km al Oeste- SO de Callao-Lima,
,,-15.49,-70.36,246,4.8,II Lampa,15 km al Sur de Lampa-Puno,
,,-16.05,-72.51,31,3.9,II Aplao ,3 km al NO de Aplao-Arequipa,
,,-5.61,-77.31,13,4.2,II-III Nueva Cajamarca; II Moyobamba,36 km al Norte de Nueva Cajamarca-San Martin,
,,-3.72,-80.7,27,4.1,"II Zorritos, Tumbes",7 km al SO de Zorritos-Tumbes,
,,-15.68,-71.83,12,3.5,II Maca,8 km al SO de Maca-Arequipa,
,,-4.07,-81.05,30,3.8,II Máncora,6 km al Norte de Máncora-Piura,
,,-16.86,-70.74,10,3.6,II Carumas,7 km al SO de Carumas-Moquegua,
,,-15.68,-71.82,14,3.8,"II Pinchollo, Maca",5 km al Sur de Pinchollo-Arequipa,
,,-15.68,-71.81,7,3.7,II Maca,6 km al SO de Maca-Arequipa,
,,-15.73,-71.74,8,3.7,II Maca,11 km Sur-SE de Maca-Arequipa,
,,-14.08,-76.39,58,5.2,"IV Pisco, Tambo de Mora; III-IV Ica; III La Tinguiña, Chincha Alta; II-III Asia",46 km al Sur-SO de Pisco-Ica,
,,-15.68,-71.8,11,3.5,II Maca,6 km al SO de Maca-Arequipa,
,,-9.35,-79.3,30,5.5,"IV Chimbote, Casma, Trujillo, III Ascope, Huacho; II-III Huaraz, Caraz; II Lima ",84 km al Oeste-SO de Chimbote-Ancash,
,,-14.51,-76.55,21,4.8,"II Pisco, Ica",97 km al Sur-SO de Pisco-Ica,
,,-16.53,-73.51,10,4.3,II Atico,37 km al Sur-SE de Atico-Arequipa,
,,-9.27,-79.22,35,4.3,II Chimbote,73 km al Oeste-SO de Chimbote-Ancash,
,,-15.67,-70.24,241,4.9,II Juliaca,24 km al Sur-SO de Juliaca-Puno,
,,-11.18,-76.75,129,4.6,"II Canta, Yangas, Huaral, Lima, San Mateo, Oyón, Huacho",35 km al Norte-NO de Canta-Lima,
,,-3.46,-76.87,37,5.2,II Pastaza,81 km SO de Pastaza-Loreto,
,,-11.81,-77.63,49,4.2,"III Ancón, Lima, Callao, Huacho; II Canta, Chosica, Lunahuaná",50 km al Oeste de Ancón-Lima,
,,-3.25,-80.56,52,4,"II-III Tumbes, II Zorritos",37 km al Norte-NO de Tumbes-Tumbes,
,,-12.84,-77.41,30,3.8,"II Chilca, Mala, Callao, Lima",81 km al Oeste-SO de Chilca-Lima,
,,-15.22,-74.17,105,5.1,"II Coracora, Chala",48 km al Oeste-SO de Coracora-Ayacucho,
,,-9.09,-79.09,43,4.8,"II Chimbote, Samanco, Casma",55 km al Oeste de Chimbote-Ancash,
,,-14.47,-77.11,51,4.5,II Pisco,130 km al SO de Pisco-Ica,
,,-12.99,-76.78,52,4.2,"II-III Mala, San Vicente de Cañete, II Pisco, Tambo de Mora, Lima",42 km al Sur- SO de Mala-Lima,
,,-11.67,-76.34,13,3.7,II Tamboraque,13 km al Norte NO de Tamboraque-Lima,
,,-16.24,-74.11,11,4,"II Chala, Atico",46 K al Sur-Se de Chala,
,,-17.02,-70.58,24,3.7,II Carumas,26 Km al Sur-SE de Carumas,
,,-10.64,-75.47,144,4.3,II Oxapampa,10 Km Suroeste de Oxapampa,
,,-5.14,-74.98,169,5.6,"III Laguna; II-III Requena; II Iquitos , Yurimaguas, Nauta",78 Km. Este de Lagunillas,
,,-16.73,-72.67,38,3.8,II Camaná,12 Km al Sur-SE de Camaná,
,,-16.32,-73.27,51,4,"II Ocoña, Atico",23 Km. Oeste-NO de Ocoña,
,,-9.37,-79.24,38,4.2,II-III Chimbote ,79 KM. al Oeste-SO de Chimbote,
,,-14.67,-75.61,35,4.1,II Palpa,49 km. al Oeste-SO de Palpa,
,,-10.7,-75.7,17,4.3,III Oxapampa; II Villa Rica,15 Km al Este -NE de Paucartambo,
,,-15.94,-71.68,154,4.9,II Arequipa,35 km al Norte de Yura,
,,-6.48,-80.81,31,4.2,II Sechura,103 km al Sur de Sechura,
,,-13.58,-72.9,93,3.9,II Abancay,7 Km al Norte-NO de Abancay,
,,-15.69,-72.03,13,4.1,"II-III Huambo, Cabanaconde; II Pinchollo",9 km al Sur-Oeste de Cabanaconde,
,,-8.26,-74.43,191,4.7,II Pucallpa,17 km al Nor-Este de Pucallpa,
