profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
32,,0,,,2025-01-01T17:13:15.000Z,-4.86,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250001_20250101_170829.pdf,-80.86,1970-01-01T17:08:29.000Z,1970-01-01T12:08:29.000Z,,9972,1,"19 km al O de Sullana, Sullana - Piura",2025-01-01T17:13:15.000Z,,,2025-0001,1,4,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
94,,0,,,2025-01-01T18:37:02.000Z,-13.34,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250002_20250101_183201.pdf,-75.01,1970-01-01T18:32:01.000Z,1970-01-01T13:32:01.000Z,,9973,1,"18 km al E de Castrovirreyna, Castrovirreyna - Huancavelica",2025-01-01T18:37:02.000Z,,,2025-0002,2,4.4,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
17,,0,III Paruro,,2025-01-02T04:39:40.000Z,-13.7,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250003_20250102_043608.pdf,-71.86,1970-01-01T04:36:08.000Z,1970-01-01T23:36:08.000Z,,9974,1,"7 km al N de Paruro, Paruro - Cusco",2025-01-02T04:39:40.000Z,,,2025-0003,3,3.6,2025-01-02T00:00:00.000Z,2025-01-01T00:00:00.000Z
27,,0,,,2025-01-02T19:13:03.000Z,-15.05,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250004_20250102_190814.pdf,-76.29,1970-01-01T19:08:14.000Z,1970-01-01T14:08:14.000Z,,9975,1,"125 km al SO de Ica, Ica - Ica",2025-01-02T19:13:03.000Z,,,2025-0004,4,4,2025-01-02T00:00:00.000Z,2025-01-02T00:00:00.000Z
27,,0,II-III Marcona,,2025-01-03T01:08:24.000Z,-15.37,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250005_20250103_010248.pdf,-76.07,1970-01-01T01:02:48.000Z,1970-01-01T20:02:48.000Z,,9976,1,"97 km al O de Marcona, Nazca - Ica",2025-01-03T01:08:24.000Z,,,2025-0005,5,4.4,2025-01-03T00:00:00.000Z,2025-01-02T00:00:00.000Z
45,,0,III Huacho,,2025-01-04T00:37:02.000Z,-11.41,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250006_20250104_003251.pdf,-77.65,1970-01-01T00:32:51.000Z,1970-01-01T19:32:51.000Z,,9977,1,"34 km al S de Huacho, Huaura - Lima",2025-01-04T00:37:02.000Z,,,2025-0006,6,3.5,2025-01-04T00:00:00.000Z,2025-01-03T00:00:00.000Z
190,,0,,,2025-01-04T05:05:34.000Z,-16.84,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250007_20250104_045947.pdf,-69.7,1970-01-01T04:59:47.000Z,1970-01-01T23:59:47.000Z,,9978,1,"23 km al S de Conduriri, El Collao - Puno",2025-01-04T05:05:34.000Z,,,2025-0007,7,4,2025-01-04T00:00:00.000Z,2025-01-03T00:00:00.000Z
51,,0,,,2025-01-05T08:24:16.000Z,-4.18,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250008_20250105_081952.pdf,-80.41,1970-01-01T08:19:52.000Z,1970-01-01T03:19:52.000Z,,9979,1,"63 km al SE de Zorritos, Contralmirante Villar - Tumbes",2025-01-05T08:24:16.000Z,,,2025-0008,8,4,2025-01-05T00:00:00.000Z,2025-01-05T00:00:00.000Z
126,,0,,,2025-01-05T08:52:51.000Z,-14.9,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250009_20250105_084816.pdf,-73.61,1970-01-01T08:48:16.000Z,1970-01-01T03:48:16.000Z,,9980,1,"22 km al NE de Coracora, Parinacochas - Ayacucho",2025-01-05T08:52:51.000Z,,,2025-0009,9,4.1,2025-01-05T00:00:00.000Z,2025-01-05T00:00:00.000Z
42,,0,III Ancon,,2025-01-05T09:59:42.000Z,-11.9,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250010_20250105_095649.pdf,-77.5,1970-01-01T09:56:49.000Z,1970-01-01T04:56:49.000Z,,9981,1,"39 km al SO de Ancon, Lima - Lima",2025-01-05T09:59:42.000Z,,,2025-0010,10,3.6,2025-01-05T00:00:00.000Z,2025-01-05T00:00:00.000Z
