total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed
42.0,2.0,2.0,0.0,0.29,0.0
42.0,2.0,0.0,0.0,0.29,0.0
42.0,2.0,0.0,0.0,0.29,0.0
42.0,2.0,0.0,0.0,0.29,0.0
42.0,2.0,0.0,0.0,0.29,0.0
42.0,2.0,0.0,0.0,0.29,0.0
42.0,2.0,0.0,0.0,0.29,0.0
42.0,2.0,0.0,0.0,0.0,0.0
42.0,2.0,0.0,0.0,0.0,0.0
42.0,2.0,0.0,0.0,0.0,0.0
42.0,2.0,0.0,0.0,0.0,0.0
42.0,2.0,0.0,0.0,0.0,0.0
42.0,2.0,0.0,0.0,0.0,0.0
42.0,2.0,0.0,0.0,0.0,0.0
46.0,2.0,4.0,0.0,0.57,0.0
46.0,2.0,0.0,0.0,0.57,0.0
46.0,2.0,0.0,0.0,0.57,0.0
46.0,2.0,0.0,0.0,0.57,0.0
46.0,2.0,0.0,0.0,0.57,0.0
46.0,2.0,0.0,0.0,0.57,0.0
46.0,2.0,0.0,0.0,0.57,0.0
58.0,2.0,12.0,0.0,1.71,0.0
58.0,2.0,0.0,0.0,1.71,0.0
58.0,2.0,0.0,0.0,1.71,0.0
58.0,2.0,0.0,0.0,1.71,0.0
58.0,2.0,0.0,0.0,1.71,0.0
58.0,2.0,0.0,0.0,1.71,0.0
58.0,2.0,0.0,0.0,1.71,0.0
58.0,2.0,0.0,0.0,0.0,0.0
58.0,2.0,0.0,0.0,0.0,0.0
58.0,2.0,0.0,0.0,0.0,0.0
58.0,2.0,0.0,0.0,0.0,0.0
59.0,2.0,1.0,0.0,0.14,0.0
59.0,2.0,0.0,0.0,0.14,0.0
59.0,2.0,0.0,0.0,0.14,0.0
77.0,3.0,18.0,1.0,2.71,0.14
77.0,3.0,0.0,0.0,2.71,0.14
77.0,3.0,0.0,0.0,2.71,0.14
77.0,3.0,0.0,0.0,2.71,0.14
77.0,3.0,0.0,0.0,2.57,0.14
77.0,3.0,0.0,0.0,2.57,0.14
77.0,3.0,0.0,0.0,2.57,0.14
92.0,3.0,15.0,0.0,2.14,0.0
92.0,3.0,0.0,0.0,2.14,0.0
92.0,3.0,0.0,0.0,2.14,0.0
92.0,3.0,0.0,0.0,2.14,0.0
92.0,3.0,0.0,0.0,2.14,0.0
92.0,3.0,0.0,0.0,2.14,0.0
92.0,3.0,0.0,0.0,2.14,0.0
191.0,3.0,99.0,0.0,14.14,0.0
191.0,3.0,0.0,0.0,14.14,0.0
191.0,3.0,0.0,0.0,14.14,0.0
191.0,3.0,0.0,0.0,14.14,0.0
191.0,3.0,0.0,0.0,14.14,0.0
191.0,3.0,0.0,0.0,14.14,0.0
191.0,3.0,0.0,0.0,14.14,0.0
217.0,3.0,26.0,0.0,3.71,0.0
217.0,3.0,0.0,0.0,3.71,0.0
217.0,3.0,0.0,0.0,3.71,0.0
217.0,3.0,0.0,0.0,3.71,0.0
217.0,3.0,0.0,0.0,3.71,0.0
217.0,3.0,0.0,0.0,3.71,0.0
217.0,3.0,0.0,0.0,3.71,0.0
247.0,4.0,30.0,1.0,4.29,0.14
247.0,4.0,0.0,0.0,4.29,0.14
247.0,4.0,0.0,0.0,4.29,0.14
247.0,4.0,0.0,0.0,4.29,0.14
247.0,4.0,0.0,0.0,4.29,0.14
247.0,4.0,0.0,0.0,4.29,0.14
247.0,4.0,0.0,0.0,4.29,0.14
269.0,4.0,22.0,0.0,3.14,0.0
269.0,4.0,0.0,0.0,3.14,0.0
269.0,4.0,0.0,0.0,3.14,0.0
269.0,4.0,0.0,0.0,3.14,0.0
269.0,4.0,0.0,0.0,3.14,0.0
269.0,4.0,0.0,0.0,3.14,0.0
269.0,4.0,0.0,0.0,3.14,0.0
291.0,4.0,22.0,0.0,3.14,0.0
291.0,4.0,0.0,0.0,3.14,0.0
291.0,4.0,0.0,0.0,3.14,0.0
291.0,4.0,0.0,0.0,3.14,0.0
291.0,4.0,0.0,0.0,3.14,0.0
291.0,4.0,0.0,0.0,3.14,0.0
291.0,4.0,0.0,0.0,3.14,0.0
307.0,4.0,16.0,0.0,2.29,0.0
307.0,4.0,0.0,0.0,2.29,0.0
307.0,4.0,0.0,0.0,2.29,0.0
307.0,4.0,0.0,0.0,2.29,0.0
307.0,4.0,0.0,0.0,2.29,0.0
307.0,4.0,0.0,0.0,2.29,0.0
307.0,4.0,0.0,0.0,2.29,0.0
348.0,5.0,41.0,1.0,5.86,0.14
349.0,5.0,1.0,0.0,6.0,0.14
349.0,5.0,0.0,0.0,6.0,0.14
349.0,5.0,0.0,0.0,6.0,0.14
349.0,5.0,0.0,0.0,6.0,0.14
349.0,5.0,0.0,0.0,6.0,0.14
349.0,5.0,0.0,0.0,6.0,0.14
369.0,8.0,20.0,3.0,3.0,0.43
369.0,8.0,0.0,0.0,2.86,0.43
369.0,8.0,0.0,0.0,2.86,0.43
370.0,8.0,1.0,0.0,3.0,0.43
370.0,8.0,0.0,0.0,3.0,0.43
370.0,8.0,0.0,0.0,3.0,0.43
370.0,8.0,0.0,0.0,3.0,0.43
482.0,8.0,112.0,0.0,16.14,0.0
482.0,8.0,0.0,0.0,16.14,0.0
482.0,8.0,0.0,0.0,16.14,0.0
482.0,8.0,0.0,0.0,16.0,0.0
482.0,8.0,0.0,0.0,16.0,0.0
482.0,8.0,0.0,0.0,16.0,0.0
482.0,8.0,0.0,0.0,16.0,0.0
515.0,13.0,33.0,5.0,4.71,0.71
515.0,13.0,0.0,0.0,4.71,0.71
515.0,13.0,0.0,0.0,4.71,0.71
515.0,13.0,0.0,0.0,4.71,0.71
515.0,13.0,0.0,0.0,4.71,0.71
515.0,13.0,0.0,0.0,4.71,0.71
515.0,13.0,0.0,0.0,4.71,0.71
584.0,13.0,69.0,0.0,9.86,0.0
586.0,13.0,2.0,0.0,10.14,0.0
586.0,13.0,0.0,0.0,10.14,0.0
586.0,13.0,0.0,0.0,10.14,0.0
586.0,13.0,0.0,0.0,10.14,0.0
586.0,13.0,0.0,0.0,10.14,0.0
586.0,13.0,0.0,0.0,10.14,0.0
630.0,14.0,44.0,1.0,6.57,0.14
630.0,14.0,0.0,0.0,6.29,0.14
632.0,14.0,2.0,0.0,6.57,0.14
632.0,14.0,0.0,0.0,6.57,0.14
632.0,14.0,0.0,0.0,6.57,0.14
632.0,14.0,0.0,0.0,6.57,0.14
632.0,14.0,0.0,0.0,6.57,0.14
671.0,14.0,39.0,0.0,5.86,0.0
671.0,14.0,0.0,0.0,5.86,0.0
671.0,14.0,0.0,0.0,5.57,0.0
671.0,14.0,0.0,0.0,5.57,0.0
673.0,15.0,2.0,1.0,5.86,0.14
673.0,15.0,0.0,0.0,5.86,0.14
673.0,15.0,0.0,0.0,5.86,0.14
743.0,15.0,70.0,0.0,10.29,0.14
743.0,15.0,0.0,0.0,10.29,0.14
743.0,15.0,0.0,0.0,10.29,0.14
744.0,15.0,1.0,0.0,10.43,0.14
744.0,15.0,0.0,0.0,10.14,0.0
744.0,15.0,0.0,0.0,10.14,0.0
744.0,15.0,0.0,0.0,10.14,0.0
817.0,15.0,73.0,0.0,10.57,0.0
817.0,15.0,0.0,0.0,10.57,0.0
